Tag MAC,Frequency,Polynomial,Inverse,Required Power @15mV (dBm),Required Power @40mV (dBm)
98_A3_16_8F_DB_94,700,"[0.15441365251749348, 3.9193067976326144, -36.12770779968902]","[-0.00147791426664781, 0.1396067552835529, 6.9910474118671475]",-24.381630175274815,-19.568622495167325
98_A3_16_8F_DB_94,710,"[0.1634356690251353, 3.905963625044686, -36.835312259645285]","[-0.0014831173470501858, 0.13585018329794973, 7.04311394342684]",-25.059205334566954,-20.20267822876404
98_A3_16_8F_DB_94,720,"[0.18802671538224888, 3.8051151064681714, -37.45339936699931]","[-0.0016313824400474887, 0.12504713305297052, 7.0123518278337675]",-25.770055971858866,-20.858152545913835
98_A3_16_8F_DB_94,730,"[0.21995306156041677, 3.638176797823969, -37.93872059923096]","[-0.0018303556810892996, 0.11237163457583356, 6.962136088989411]",-26.473321518798013,-21.52484073175031
98_A3_16_8F_DB_94,740,"[0.24030286244914872, 3.5465614914050465, -38.5544674186325]","[-0.0018898958275864644, 0.10567260868601959, 6.972554178680672]",-27.1879311919651,-22.201628708546448
98_A3_16_8F_DB_94,750,"[0.25926851278412866, 3.4458989951931174, -39.13154183971702]","[-0.0019397728935531008, 0.09988661150969115, 6.997167309480542]",-27.898519428718977,-22.89195356725232
98_A3_16_8F_DB_94,760,"[0.28810353798618993, 3.251072659336881, -39.51548584130096]","[-0.002079173846028961, 0.09061888219457523, 6.990182644137153]",-28.598600236041307,-23.602206268387143
98_A3_16_8F_DB_94,770,"[0.3157015775638448, 3.0404249004685253, -39.839515311962735]","[-0.00220838139933561, 0.08224274111497507, 6.9991670394274745]",-29.290683198685258,-24.32774045298597
98_A3_16_8F_DB_94,780,"[0.33950308906944604, 2.83625184937737, -40.16846556986603]","[-0.0023030382333111663, 0.07567868829319936, 7.036419810556955]",-29.997995089752813,-25.085973523107242
98_A3_16_8F_DB_94,790,"[0.3648574301919389, 2.6041423815512292, -40.451542806859926]","[-0.0024026339067790598, 0.06887060210588943, 7.076849433048918]",-30.72369944713907,-25.880257002062315
98_A3_16_8F_DB_94,800,"[0.39842660346847647, 2.2879275623878184, -40.55618423751438]","[-0.0025524760773233475, 0.059813514443978276, 7.096293113737486]",-31.43848574534266,-26.694573124410855
98_A3_16_8F_DB_94,810,"[0.4340300326985901, 1.943085512065153, -40.576380831308434]","[-0.0027038073672980825, 0.05052552520947613, 7.110328553510339]",-32.131432896735234,-27.50236500224809
98_A3_16_8F_DB_94,820,"[0.46886905975082577, 1.5863523419872692, -40.5500146764277]","[-0.0028285908601234436, 0.04238508691343786, 7.138796066784973]",-32.81562481950462,-28.317860894893833
98_A3_16_8F_DB_94,830,"[0.5046506632053025, 1.1953116103664123, -40.377416182808226]","[-0.0029681778571960665, 0.03388420258913221, 7.164726139031458]",-33.43957858459455,-29.100854486720195
98_A3_16_8F_DB_94,840,"[0.5362789515103036, 0.8035399236124957, -40.059761585630525]","[-0.0031257219617358864, 0.025459842844171937, 7.194389784683321]",-33.95091419503951,-29.798005993608417
