Tag MAC,Frequency,Power (dBm),Voltage (mV)
58_E6_C5_01_08_CC,705,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14]","[1.297, 1.678, 2.06, 2.6319999999999997, 3.281, 4.12, 5.188, 6.485, 8.087, 9.995, 12.741, 15.869, 19.76, 24.414, 30.0985, 36.774, 44.709, 53.941, 64.698, 77.363, 93.462, 111.086]"
58_E6_C5_01_08_CC,715,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14]","[1.526, 1.907, 2.403, 3.052, 3.815, 4.883, 6.104, 7.63, 9.384, 11.673, 14.496, 18.158, 22.507, 27.695, 33.951, 41.39, 50.278, 60.349, 72.251, 86.023, 103.38, 122.072]"
58_E6_C5_01_08_CC,725,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14]","[1.831, 2.213, 2.823, 3.586, 4.501, 5.646, 7.095, 8.774, 10.986, 13.581, 16.556, 20.6, 25.483, 31.319, 38.224, 46.464, 56.153, 67.407, 80.339, 95.369, 113.451, 133.516]"
58_E6_C5_01_08_CC,735,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14]","[2.098, 2.67, 3.281, 4.12, 5.264, 6.561, 8.164, 10.224, 12.665, 15.717, 18.769, 23.346, 28.763, 35.325, 43.03, 52.033, 62.562, 74.998, 89.189, 105.287, 124.285, 145.8]"
58_E6_C5_01_08_CC,745,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14]","[2.441, 3.052, 3.815, 4.807, 6.104, 7.63, 9.461, 11.826, 14.649, 18.082, 21.286, 26.398, 32.425, 39.75, 48.371, 58.3275, 69.963, 83.429, 98.878, 116.426, 135.882, 159.6475]"
58_E6_C5_01_08_CC,755,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14]","[2.823, 3.51, 4.425, 5.57, 7.019, 8.774, 10.834, 13.5425, 16.785, 20.676, 24.186, 29.755, 36.622, 44.862, 54.322, 65.461, 78.279, 92.851, 109.636, 128.481, 149.615, 175.402]"
58_E6_C5_01_08_CC,765,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14]","[3.204, 4.044, 5.112, 6.409, 8.011, 9.995, 12.436, 15.488, 19.15, 23.575, 27.466, 33.722, 41.352, 50.507, 60.998000000000005, 73.243, 87.32, 103.227, 121.538, 142.214, 165.255, 193.103]"
58_E6_C5_01_08_CC,775,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14]","[3.7, 4.578, 5.875, 7.324, 9.155, 11.444, 14.191, 17.624, 21.744, 26.741500000000002, 31.205, 38.376, 46.921, 57.145, 68.894, 82.551, 97.887, 115.129, 135.042, 157.778, 183.185, 213.55]"
58_E6_C5_01_08_CC,785,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14]","[4.2345, 5.341, 6.714, 8.430499999999999, 10.452, 13.123, 16.289, 20.142, 24.796, 30.518, 36.088, 44.327, 53.941, 65.423, 78.355, 93.614, 110.552, 129.854, 151.827, 176.471, 205.539, 237.964]"
58_E6_C5_01_08_CC,795,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14]","[4.845000000000001, 6.1419999999999995, 7.706, 9.613, 12.131, 15.03, 18.692, 23.117, 28.534, 34.791, 41.81, 51.194, 62.333, 74.922, 89.418, 106.508, 125.429, 146.4485, 170.825, 197.833, 230.182, 265.812]"
58_E6_C5_01_08_CC,805,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14]","[5.57, 7.095, 8.85, 11.139, 13.886, 17.319, 21.515, 26.474, 32.578, 39.826, 48.447, 59.052, 71.641, 86.213, 102.541, 121.233, 142.214, 165.942, 192.34, 222.019, 257.115, 297.017]"
