Tag MAC,Frequency,Power (dBm),Voltage (mV)
58_E6_C5_01_08_CC,705,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[1.297, 1.602, 2.06, 2.594, 3.281, 4.12, 5.188, 6.485, 8.087, 10.071, 12.741, 16.022, 19.837, 24.567, 30.137, 36.927, 44.785, 54.05500000000001, 64.927, 77.592, 93.614, 110.781, 131.151, 153.506, 179.2555, 207.599, 241.016, 277.562]"
58_E6_C5_01_08_CC,715,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[1.526, 1.907, 2.403, 3.052, 3.815, 4.807, 6.104, 7.553, 9.4225, 11.673, 14.649, 18.235, 22.583, 27.8095, 34.18, 41.581, 50.202, 60.578, 72.48, 86.213, 103.609, 121.691, 143.664, 168.231, 195.697, 226.673, 261.921, 300.832]"
58_E6_C5_01_08_CC,725,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[1.755, 2.213, 2.823, 3.586, 4.501, 5.646, 7.095, 8.774, 10.91, 13.619, 16.632, 20.6, 25.483, 31.357, 38.376, 46.6545, 56.306, 67.521, 80.491, 95.521, 113.603, 134.16500000000002, 156.786, 183.566, 212.406, 246.052, 283.436, 325.475]"
58_E6_C5_01_08_CC,735,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[2.06, 2.594, 3.281, 4.196, 5.188, 6.561, 8.164, 10.224, 12.665, 15.717, 18.845, 23.27, 28.763, 35.401, 43.107, 52.262, 62.867, 75.151, 89.342, 105.44, 124.437, 146.487, 170.748, 198.863, 230.335, 266.117, 306.02, 349.622]"
58_E6_C5_01_08_CC,745,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[2.441, 3.052, 3.815, 4.883, 6.027, 7.63, 9.537, 11.826, 14.649, 18.158, 21.363, 26.474, 32.578, 39.902, 48.371, 58.442, 70.115, 83.696, 99.107, 116.579, 136.11, 159.228, 186.389, 216.449, 250.172, 288.396, 330.434, 377.394]"
58_E6_C5_01_08_CC,755,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[2.747, 3.51, 4.425, 5.57, 7.019, 8.774, 10.91, 13.581, 16.823, 20.676, 24.224, 29.946, 36.774, 44.862, 54.475, 65.385, 78.355, 93.08, 109.865, 128.748, 149.996, 175.021, 204.28, 236.057, 272.831, 313.115, 358.053, 409.094]"
58_E6_C5_01_08_CC,765,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[3.204, 4.044, 5.035, 6.332, 8.011, 9.995, 12.512, 15.488, 19.15, 23.651, 27.466, 33.951, 41.733, 50.507, 61.189, 73.243, 87.663, 103.532, 121.767, 142.443, 165.56, 193.332, 224.384, 259.403, 298.314, 341.115, 390.097, 444.877]"
58_E6_C5_01_08_CC,775,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[3.662, 4.578, 5.798, 7.248, 9.155, 11.406, 14.191, 17.624, 21.744, 26.703, 31.434, 38.605, 47.303, 57.145, 68.971, 82.704, 98.039, 115.663, 135.576, 158.083, 184.36700000000002, 214.008, 247.654, 285.611, 327.764, 374.609, 426.947, 485.161]"
58_E6_C5_01_08_CC,785,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[4.196, 5.3025, 6.638, 8.392, 10.529, 13.046, 16.327, 20.142, 24.872, 30.442, 35.935, 44.327, 54.17, 65.461, 78.622, 93.843, 111.009, 130.312, 151.98, 176.776, 205.997, 238.4605, 275.196, 316.472, 362.173, 413.138, 469.749, 533.455]"
58_E6_C5_01_08_CC,795,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[4.807, 6.104, 7.63, 9.613, 11.978, 15.03, 18.692, 23.041, 28.382, 34.791, 41.81, 51.194, 62.409, 75.227, 89.952, 106.737, 125.696, 147.135, 171.283, 198.215, 230.869, 267.185, 306.401, 351.415, 401.236, 456.55, 518.73, 587.091]"
58_E6_C5_01_08_CC,805,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[5.57, 7.019, 8.774, 11.063, 13.809, 17.243, 21.439, 26.474, 32.578, 39.75, 48.447, 59.358, 71.717, 86.213, 102.922, 121.538, 142.748, 166.552, 192.874, 222.782, 258.946, 297.704, 341.573, 390.707, 444.953, 505.074, 572.824, 646.983]"
58_E6_C5_01_08_CC,815,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[6.409, 8.087, 10.147, 12.741, 15.946, 19.837, 24.72, 30.442, 37.461, 45.777, 55.924, 68.437, 82.399, 99.031, 117.685, 138.476, 161.822, 188.373, 217.746, 250.706, 289.387, 333.104, 381.018, 434.73, 493.935, 559.5865, 632.258, 713.741]"
58_E6_C5_01_08_CC,825,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[7.401, 9.308, 11.749, 14.725, 18.463, 23.041, 28.572499999999998, 35.325, 43.336, 52.72, 65.156, 79.118, 95.598, 113.68, 135.042, 158.236, 184.558, 214.008, 246.662, 282.979, 324.941, 372.854, 425.574, 483.253, 547.951, 620.661, 699.9695, 787.594]"
58_E6_C5_01_08_CC,835,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[8.507, 10.758, 13.581, 17.014, 21.363, 26.627, 32.959, 40.855999999999995, 50.126, 61.036, 75.227, 91.249, 109.9795, 131.151, 154.726, 180.896, 210.269, 243.229, 279.393, 319.677, 365.072, 418.173, 476.081, 540.703, 611.734, 690.166, 777.943, 874.952]"
58_E6_C5_01_08_CC,845,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[9.613, 12.207, 15.335, 19.379, 24.262, 30.442, 37.919, 46.807, 57.527, 70.344, 86.748, 105.364, 126.192, 149.691, 176.318, 206.149, 239.567, 275.921, 316.8155, 361.639, 412.299, 470.97, 535.134, 606.317, 684.749, 769.741, 867.323, 973.831]"
58_E6_C5_01_08_CC,855,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[10.567, 13.504, 17.166, 21.592, 27.237, 34.104, 42.649, 52.949, 65.232, 79.957, 97.77199999999999, 118.791, 142.367, 169.451, 198.978, 233.005, 270.008, 311.36, 356.603, 407.34, 463.569, 528.725, 600.29, 679.332, 767.796, 863.432, 969.863, 1085.908]"
58_E6_C5_01_08_CC,865,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[11.292, 14.42, 18.235, 23.041, 29.145, 36.774, 46.197, 57.717, 71.489, 87.663, 106.47, 129.32, 156.672, 186.236, 219.883, 257.572, 298.924, 345.235, 396.582, 452.811, 516.747, 589.99, 671.55, 760.052, 856.794, 964.904, 1083.085, 1214.885]"
58_E6_C5_01_08_CC,875,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[11.444, 14.572, 18.5015, 23.423, 29.679, 37.69, 47.227, 59.281, 73.93, 91.249, 110.552, 135.653, 164.874, 196.613, 234.76, 275.731, 322.118, 373.617, 430.152, 493.4, 565.5375, 647.135, 738.308, 837.11, 945.144, 1067.14, 1198.978, 1345.083]"
58_E6_C5_01_08_CC,885,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[10.91, 13.886, 17.7, 22.3925, 28.458, 36.011, 45.548, 56.916, 71.412, 88.731, 109.102, 134.8515, 163.844, 198.291, 238.041, 282.368, 331.807, 387.655, 449.989, 518.654, 596.933, 687.19, 788.128, 899.596, 1021.286, 1154.345, 1299.992, 1461.204]"
58_E6_C5_01_08_CC,895,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[10.071, 12.741, 16.251, 20.6, 26.093, 33.036, 41.581, 52.338, 65.461, 81.331, 101.854, 126.574, 155.337, 189.364, 228.504, 273.327, 324.788, 382.086, 447.471, 520.79, 602.731, 696.8415, 805.219, 925.689, 1057.603, 1204.166, 1360.266, 1537.27]"
58_E6_C5_01_08_CC,905,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[9.079, 11.521, 14.649, 18.54, 23.423, 29.603, 37.194, 46.693, 58.3275, 72.404, 91.936, 114.595, 141.2605, 172.503, 209.277, 252.1935, 301.137, 357.214, 421.836, 494.659, 573.663, 671.778, 783.093, 907.836, 1045.319, 1196.841, 1363.317, 1550.088]"
58_E6_C5_01_08_CC,915,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[8.164, 10.376, 13.123, 16.556, 20.905, 26.246, 32.959, 41.276, 51.499, 64.012, 81.102, 101.32, 125.124, 153.353, 186.16, 224.80349999999999, 270.008, 321.965, 381.399, 449.836, 526.818, 623.407, 729.839, 852.445, 986.763, 1140.841, 1309.224, 1496.91]"
58_E6_C5_01_08_CC,925,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[7.324, 9.308, 11.902, 14.954, 18.769, 23.651, 29.603, 37.003, 45.93, 57.069, 72.137, 89.799, 110.628, 135.805, 165.103, 199.283, 240.024, 286.336, 340.6195, 403.449, 476.081, 566.2239999999999, 665.599, 781.643, 910.048, 1056.229, 1221.485, 1403.372]"
58_E6_C5_01_08_CC,935,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[6.867, 8.621, 10.986, 13.733, 17.395, 21.592, 27.085, 33.799, 42.039, 52.11, 64.698, 80.568, 99.26, 121.843, 147.44, 179.141, 215.305, 256.809, 305.257, 362.097, 431.754, 514.229, 605.783, 711.452, 832.99, 970.092, 1126.192, 1299.306]"
58_E6_C5_01_08_CC,945,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[6.332, 8.049, 10.147, 12.856, 16.175, 20.142, 25.254, 31.434, 39.063, 48.219, 58.366, 73.014, 90.105, 110.36099999999999, 134.356, 162.356, 194.858, 232.929, 277.18, 327.993, 393.149, 468.64300000000003, 552.6435, 649.805, 761.959, 889.296, 1034.791, 1196.918]"
58_E6_C5_01_08_CC,955,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[5.951, 7.63, 9.537, 12.0165, 15.106, 18.997, 23.651, 29.374, 36.545, 45.014, 53.712, 66.911, 82.551, 101.167, 122.988, 148.699, 178.64499999999998, 212.863, 253.605, 300.679, 360.342, 427.939, 506.676, 596.094, 699.626, 817.235, 950.561, 1103.494]"
58_E6_C5_01_08_CC,965,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[5.646, 7.095, 9.003, 11.368, 14.267, 17.777, 22.126, 27.543, 34.333, 42.344, 49.629999999999995, 61.799, 76.066, 93.462, 113.298, 137.179, 165.026, 196.841, 234.302, 277.714, 332.341, 394.675, 465.782, 550.011, 644.083, 751.354, 876.631, 1017.395]"
58_E6_C5_01_08_CC,975,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[5.264, 6.714, 8.469, 10.605, 13.428, 16.709, 20.905, 26.017, 32.273, 39.9405, 46.464, 57.641000000000005, 70.954, 86.976, 105.898, 127.794, 153.811, 183.795, 218.39499999999998, 258.869, 308.919, 366.751, 432.898, 509.575, 598.459, 698.4435, 815.137, 946.746]"
58_E6_C5_01_08_CC,985,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[5.035, 6.332, 8.011, 9.995, 12.665, 15.793, 19.684, 24.567, 30.365, 37.613, 43.717, 54.322, 67.178, 82.322, 100.023, 121.004, 145.418, 173.724, 206.531, 244.831, 288.09, 342.107, 405.432, 477.226, 559.091, 654.078, 762.3025, 885.557]"
58_E6_C5_01_08_CC,995,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[4.73, 5.951, 7.477, 9.384, 11.749, 14.725, 18.463, 22.965, 28.496, 35.172, 41.428, 51.499, 63.478, 77.592, 95.064, 114.748, 137.865, 164.874, 196.078, 232.166, 271.687, 322.576, 380.713, 447.242, 527.047, 615.396, 717.555, 833.6]"
98_A3_16_8F_EA_5C,705,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[1.373, 1.602, 2.136, 2.594, 3.2425, 4.044, 5.112, 6.332, 7.782, 9.689, 12.322, 15.488, 19.226, 23.804, 29.221, 35.859, 43.641, 52.873, 63.706, 76.295, 92.317, 109.56, 130.083, 152.514, 178.302, 206.836, 240.253, 276.875]"
98_A3_16_8F_EA_5C,715,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[1.526, 1.984, 2.365, 2.976, 3.738, 4.73, 5.875, 7.286, 9.079, 11.215, 14.038, 17.472, 21.744, 26.818, 33.036, 40.36, 48.981, 59.205, 71.031, 84.84, 102.312, 120.47, 142.596, 167.239, 194.858, 225.91, 261.234, 300.298]"
98_A3_16_8F_EA_5C,725,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[1.793, 2.213, 2.785, 3.51, 4.349, 5.417, 6.79, 8.469, 10.452, 13.046, 15.869, 19.684, 24.491, 30.289, 37.156, 45.319, 54.856, 65.995, 78.965, 94.072, 112.306, 132.906, 155.566, 182.574, 211.566, 245.212, 282.826, 325.017]"
98_A3_16_8F_EA_5C,735,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[2.06, 2.518, 3.204, 3.967, 5.035, 6.2940000000000005, 7.782, 9.689, 12.0165, 14.954, 18.006, 22.202, 27.543, 34.104, 41.657, 50.66, 61.189, 73.434, 87.663, 103.838, 122.911, 145.113, 169.566, 197.757, 229.305, 265.278, 305.257, 349.126]"
98_A3_16_8F_EA_5C,745,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[2.365, 2.976, 3.662, 4.578, 5.722, 7.248, 9.003, 11.139, 13.809, 17.166, 20.218, 25.254, 31.205, 38.376, 46.693, 56.687, 68.208, 81.788, 97.238, 114.748, 134.356, 157.626, 185.016, 215.229, 249.027, 287.327, 329.595, 376.593]"
98_A3_16_8F_EA_5C,755,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[2.747, 3.357, 4.196, 5.264, 6.561, 8.24, 10.224, 12.665, 15.717, 19.455, 22.889, 28.458, 35.019, 42.954, 52.338, 63.249, 76.143, 90.944, 107.652, 126.726, 148.013, 173.19, 202.564, 234.455, 271.458, 311.818, 356.8705, 407.95]"
98_A3_16_8F_EA_5C,765,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[3.052, 3.7765, 4.7685, 5.951, 7.439, 9.346, 11.559000000000001, 14.343, 17.929, 22.049, 25.788, 31.968, 39.521, 48.219, 58.709, 70.6875, 85.069, 101.015, 119.173, 139.925, 163.119, 191.119, 222.248, 257.42, 296.483, 339.361, 388.495, 443.2365]"
98_A3_16_8F_EA_5C,775,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[3.433, 4.273, 5.341, 6.714, 8.469, 10.529, 13.046, 16.251, 20.066, 24.796, 29.221, 36.164, 44.633, 54.322, 65.919, 79.576, 94.987, 112.535, 132.4865, 155.108, 181.353, 211.223, 244.984, 283.131, 325.399, 372.28200000000004, 424.735, 482.90999999999997]"
98_A3_16_8F_EA_5C,785,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[3.891, 4.883, 6.0655, 7.553, 9.537, 11.826, 14.839500000000001, 18.387, 22.774, 28.077, 33.188, 41.276, 50.889, 61.875, 74.922, 90.028, 107.118, 126.574, 148.241, 173.19, 202.411, 234.913, 271.839, 313.191, 359.045, 410.086, 466.621, 530.327]"
98_A3_16_8F_EA_5C,795,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[4.349, 5.417, 6.79, 8.545, 10.681, 13.504, 16.709, 20.752, 25.711, 31.815, 38.376, 47.303, 58.137, 70.726, 85.298, 102.007, 120.851, 142.443, 166.629, 193.713, 226.253, 262.76, 302.0905, 347.219, 397.116, 452.46799999999996, 514.611, 582.818]"
98_A3_16_8F_EA_5C,805,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[4.883, 6.1419999999999995, 7.744, 9.689, 12.131, 15.106, 18.921, 23.499, 29.068, 35.897000000000006, 43.87, 54.322, 66.3, 80.5295, 97.047, 115.663, 136.797, 160.601, 187.076, 217.06, 253.147, 292.058, 336.004, 385.214, 439.536, 499.657, 567.254, 641.222]"
98_A3_16_8F_EA_5C,815,"[-35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8]","[5.417, 6.943, 8.621, 10.91, 13.657, 17.014, 21.363, 26.551, 32.92100000000001, 40.665, 50.05, 61.9135, 75.456, 91.783, 110.246, 130.999, 154.192, 180.896, 210.422, 243.34300000000002, 281.987, 325.856, 373.77, 427.634, 486.763, 552.224, 624.704, 706.073]"
