Tag MAC,Frequency,Polynomial,Inverse,Required Power @15mV (dBm),Required Power @40mV (dBm)
58_E6_C5_01_08_CC,705,"[0.2394014764048122, 3.4919619182413775, -35.57749667055452]","[-0.001984868960009712, 0.11628044819467508, 6.7098396642031135]",-24.365429175881495,-19.43833511363756
58_E6_C5_01_08_CC,715,"[0.25374991626632304, 3.4277025499251184, -36.16665225417403]","[-0.0019990649127287234, 0.11221540356768755, 6.755004559627931]",-25.023377556078415,-20.06928460702792
58_E6_C5_01_08_CC,725,"[0.2708099440858775, 3.342180187793267, -36.712133961625334]","[-0.00203305506444213, 0.10739528171223327, 6.789855946532167]",-25.675347787171685,-20.69809801289454
58_E6_C5_01_08_CC,735,"[0.2884999021432523, 3.2512399596232697, -37.2447531834895]","[-0.002053055459460278, 0.10306258566787802, 6.824960301259755]",-26.324507769883652,-21.32546280327428
58_E6_C5_01_08_CC,745,"[0.3048603490580985, 3.1656633891019528, -37.79633109264594]","[-0.0020503821799420395, 0.09962467581377443, 6.868731996980596]",-26.987851403395872,-21.970092158220904
58_E6_C5_01_08_CC,755,"[0.3266747808775476, 3.010178416381641, -38.17275780017128]","[-0.0021165909522750867, 0.09429950662513481, 6.903776123673501]",-27.62536230386008,-22.623237071800283
58_E6_C5_01_08_CC,765,"[0.34409144337893943, 2.8715133302524167, -38.55208055465292]","[-0.0021477625368572792, 0.09069528211451376, 6.9579834330135]",-28.25247135315241,-23.277075602684008
58_E6_C5_01_08_CC,775,"[0.36406522680540876, 2.6934318530602543, -38.83745643171226]","[-0.002208403451721066, 0.08627410921793496, 7.011324243838676]",-28.873622352683718,-23.947572700294543
58_E6_C5_01_08_CC,785,"[0.38711487244363585, 2.4790924553759277, -39.07727146827828]","[-0.002279034551914564, 0.08137144099124649, 7.066884059018345]",-29.52484383467424,-24.66440424027879
58_E6_C5_01_08_CC,795,"[0.41558023360516544, 2.203370910455786, -39.181964987063125]","[-0.0023821767029030966, 0.07528595372906817, 7.11595335365094]",-30.167453390880297,-25.39884945928872
58_E6_C5_01_08_CC,805,"[0.4435709702601207, 1.921946186743272, -39.26088104586871]","[-0.002467364915017295, 0.0698114791294085, 7.170124579708979]",-30.803210657436736,-26.135014167761206
58_E6_C5_01_08_CC,815,"[0.47270268754676953, 1.6181605903691842, -39.27156838213426]","[-0.0025521922263331115, 0.0643320936292483, 7.224728685958992]",-31.422926144746896,-26.869910445105265
58_E6_C5_01_08_CC,825,"[0.5080735638234749, 1.2469964598735923, -39.1371355573516]","[-0.00265814656385158, 0.05783141089366403, 7.271760825642676]",-32.03423082749901,-27.623336426539566
58_E6_C5_01_08_CC,835,"[0.5385074693346066, 0.8947226106476963, -38.978807564643795]","[-0.0027412383129303986, 0.05257389382980655, 7.3336740845022375]",-32.60668996464027,-28.350364736515786
