,Frequency, Formatted Data, Formatted Data.1
0,700000000.0,-1.44921383218,152.462669102
1,702302302.302,-1.46155398631,152.33291214
2,704604604.605,-1.46377182805,152.268876135
3,706906906.907,-1.47131621962,152.145330665
4,709209209.209,-1.4802916154,152.090547491
5,711511511.512,-1.47772646641,152.010295
6,713813813.814,-1.47232959441,151.902469054
7,716116116.116,-1.48034259453,151.894016766
8,718418418.418,-1.47323848442,151.696909029
9,720720720.721,-1.46400993618,151.672134832
10,723023023.023,-1.46562375071,151.542923939
11,725325325.325,-1.45132176174,151.419081454
12,727627627.628,-1.47077712028,151.387149691
13,729929929.93,-1.4754510693,151.284102052
14,732232232.232,-1.47127611204,151.204389671
15,734534534.535,-1.47602048556,151.014283666
16,736836836.837,-1.47040826511,150.979361565
17,739139139.139,-1.47400280147,150.911667175
18,741441441.441,-1.47084277008,150.841973598
19,743743743.744,-1.4803106954,150.680283325
20,746046046.046,-1.46994204246,150.665538066
21,748348348.348,-1.47735211763,150.546569264
22,750650650.651,-1.47315153049,150.481922475
23,752952952.953,-1.47798469034,150.366438692
24,755255255.255,-1.48229396632,150.275359407
25,757557557.558,-1.48912600824,150.084709326
26,759859859.86,-1.4837144154,150.006031984
27,762162162.162,-1.48154041083,149.980918372
28,764464464.464,-1.48942915205,149.912797824
29,766766766.767,-1.49274105378,149.796159568
30,769069069.069,-1.48021581364,149.709531851
31,771371371.371,-1.48034683444,149.646294975
32,773673673.674,-1.47974212793,149.525369707
33,775975975.976,-1.48243559917,149.441680896
34,778278278.278,-1.4926683766,149.286353042
35,780580580.581,-1.49282526738,149.179393794
36,782882882.883,-1.4934690339,149.068918184
37,785185185.185,-1.48941687862,148.988872394
38,787487487.487,-1.50070396702,148.877415918
39,789789789.79,-1.50542487442,148.789855902
40,792092092.092,-1.50637285708,148.770570536
41,794394394.394,-1.5054777102,148.653180395
42,796696696.697,-1.49229577035,148.619356107
43,798998998.999,-1.49969686974,148.547348555
44,801301301.301,-1.49497412896,148.442432398
45,803603603.604,-1.50016239757,148.225633147
46,805905905.906,-1.49444257452,148.149632392
47,808208208.208,-1.50300784951,148.056845821
48,810510510.511,-1.50328731734,147.922754894
49,812812812.813,-1.49366935748,147.840039127
50,815115115.115,-1.50309165941,147.708727219
51,817417417.417,-1.4986787739,147.678874681
52,819719719.72,-1.50053216481,147.508761559
53,822022022.022,-1.50622617599,147.441945592
54,824324324.324,-1.51184840807,147.404336944
55,826626626.627,-1.5005807391,147.225579407
56,828928928.929,-1.5144216338,147.129344636
57,831231231.231,-1.51484851984,147.09174264
58,833533533.534,-1.51135130081,147.034063386
59,835835835.836,-1.51138020285,146.890256333
60,838138138.138,-1.51491060616,146.83591077
61,840440440.44,-1.50049428543,146.761508981
