,Frequency, Formatted Data, Formatted Data.1
0,700000000.0,-1.43891202233,151.97151559
1,702302302.302,-1.44437306349,151.860829557
2,704604604.605,-1.45407049401,151.723282153
3,706906906.907,-1.45243323866,151.673491026
4,709209209.209,-1.448793158,151.571234443
5,711511511.512,-1.4372901664,151.421331724
6,713813813.814,-1.46809750159,151.314096331
7,716116116.116,-1.44380634041,151.307762962
8,718418418.418,-1.45643150527,151.218520644
9,720720720.721,-1.45296212951,151.084851002
10,723023023.023,-1.44352199546,150.935208165
11,725325325.325,-1.44990944894,150.918570988
12,727627627.628,-1.44755313235,150.842828235
13,729929929.93,-1.44581669643,150.709707814
14,732232232.232,-1.4441558809,150.621123393
15,734534534.535,-1.45742906448,150.488755083
16,736836836.837,-1.45153460336,150.398738742
17,739139139.139,-1.46011016856,150.287249503
18,741441441.441,-1.4532807218,150.237208378
19,743743743.744,-1.44941536183,150.080991352
20,746046046.046,-1.45104487092,150.147181289
21,748348348.348,-1.46498813081,150.031386944
22,750650650.651,-1.45181074138,149.887421403
23,752952952.953,-1.46377261187,149.776645099
24,755255255.255,-1.4621435251,149.662874046
25,757557557.558,-1.46626235821,149.566773647
26,759859859.86,-1.46270670891,149.402638098
27,762162162.162,-1.46506315809,149.362991285
28,764464464.464,-1.46340565223,149.278074311
29,766766766.767,-1.46128603671,149.246029724
30,769069069.069,-1.45008587407,149.094088625
31,771371371.371,-1.47016683931,149.022407669
32,773673673.674,-1.46725237321,148.868880113
33,775975975.976,-1.45717018185,148.769956757
34,778278278.278,-1.46928738289,148.671204142
35,780580580.581,-1.46888009607,148.589010139
36,782882882.883,-1.46652303509,148.445612873
37,785185185.185,-1.47301012351,148.415830687
38,787487487.487,-1.48260818654,148.263282046
39,789789789.79,-1.47935227015,148.192846926
40,792092092.092,-1.4873550601,148.108446949
41,794394394.394,-1.47395157974,148.065007507
42,796696696.697,-1.48307741917,147.912174354
43,798998998.999,-1.47345679766,147.83693565
44,801301301.301,-1.47329897935,147.767196862
45,803603603.604,-1.4708013879,147.602336127
46,805905905.906,-1.47174157317,147.47980005
47,808208208.208,-1.48331430743,147.445582799
48,810510510.511,-1.47322372372,147.340095157
49,812812812.813,-1.4750289647,147.19299895
50,815115115.115,-1.48239325087,147.064618391
51,817417417.417,-1.48586917748,146.976862527
52,819719719.72,-1.47754837633,146.858658166
53,822022022.022,-1.47540345762,146.759237401
54,824324324.324,-1.47891333574,146.626078965
55,826626626.627,-1.48307528811,146.595895949
56,828928928.929,-1.48633339451,146.493512674
57,831231231.231,-1.49079878939,146.388948029
58,833533533.534,-1.49195463326,146.283511558
59,835835835.836,-1.48465110785,146.279505012
60,838138138.138,-1.49177335467,146.169794122
61,840440440.44,-1.49278165329,146.022353908
62,842742742.743,-1.49543809044,145.929761051
63,845045045.045,-1.48865959058,145.902778736
64,847347347.347,-1.49251088309,145.821103427
65,849649649.65,-1.49073219875,145.615081988
66,851951951.952,-1.48898839931,145.527922049
67,854254254.254,-1.48650183855,145.488382191
68,856556556.557,-1.4899982739,145.335125684
69,858858858.859,-1.49558048983,145.166884463
70,861161161.161,-1.49879774979,145.11148514
71,863463463.463,-1.50238701861,144.98079154
72,865765765.766,-1.4992907301,144.917550697
73,868068068.068,-1.49306917692,144.76292209
74,870370370.37,-1.50854716205,144.712215374
75,872672672.673,-1.50843608821,144.589292894
76,874974974.975,-1.50589630548,144.547976557
77,877277277.277,-1.49329450213,144.388256399
78,879579579.58,-1.50751145281,144.292099749
79,881881881.882,-1.50572160937,144.241076273
80,884184184.184,-1.50391755568,144.073612744
81,886486486.486,-1.50526096383,144.033235757
82,888788788.789,-1.50550750113,143.984051806
83,891091091.091,-1.51444701321,143.833800768
84,893393393.393,-1.52286513005,143.783388234
85,895695695.696,-1.51640882326,143.674071984
86,897997997.998,-1.51346291335,143.561474567
87,900300300.3,-1.51523834621,143.419819718
88,902602602.603,-1.52176860843,143.37822777
89,904904904.905,-1.52031690725,143.265549522
90,907207207.207,-1.50850431696,143.218320789
91,909509509.51,-1.51676793344,143.101188205
92,911811811.812,-1.52139594648,143.095370892
93,914114114.114,-1.52034313774,142.967479062
94,916416416.416,-1.51592788319,142.904095929
95,918718718.719,-1.5146512062,142.721228857
96,921021021.021,-1.52007076908,142.632460552
97,923323323.323,-1.52881572558,142.559548593
98,925625625.626,-1.52683146192,142.474182151
99,927927927.928,-1.52769557864,142.348984352
100,930230230.23,-1.53052763507,142.257585182
101,932532532.533,-1.52708811911,142.170033675
102,934834834.835,-1.53410863125,142.067277042
103,937137137.137,-1.53335231637,141.968767885
104,939439439.439,-1.53920672954,141.865079108
105,941741741.742,-1.52565793003,141.783153351
106,944044044.044,-1.54368960343,141.67652446
107,946346346.346,-1.54486713843,141.586748208
108,948648648.649,-1.54130585778,141.508863765
109,950950950.951,-1.54621627166,141.380216579
110,953253253.253,-1.54737276168,141.388419169
111,955555555.556,-1.5497034464,141.237799881
112,957857857.858,-1.53455537397,141.156763046
113,960160160.16,-1.5342752807,141.050495529
114,962462462.462,-1.53202932675,141.004527657
115,964764764.765,-1.54045609029,140.883060866
116,967067067.067,-1.53111714995,140.798402293
117,969369369.369,-1.53123490797,140.696526691
118,971671671.672,-1.52680245081,140.577077998
119,973973973.974,-1.53773323386,140.443781006
120,976276276.276,-1.52946910324,140.335902138
121,978578578.579,-1.53496313096,140.306826877
