,Frequency, Formatted Data, Formatted Data.1
0,700000000.0,-1.48897696024,152.944976184
1,702302302.302,-1.49926660588,152.890586446
2,704604604.605,-1.49739870793,152.742399929
3,706906906.907,-1.49892508333,152.696878726
4,709209209.209,-1.49865002091,152.625271134
5,711511511.512,-1.50738873309,152.470110327
6,713813813.814,-1.50689806086,152.422594701
7,716116116.116,-1.50950932492,152.324485328
8,718418418.418,-1.49847292635,152.221547879
9,720720720.721,-1.49637947352,152.150924854
10,723023023.023,-1.49215088268,152.057975797
11,725325325.325,-1.50526317351,151.949202818
12,727627627.628,-1.50514637891,151.817241904
13,729929929.93,-1.49917507361,151.833017724
14,732232232.232,-1.51496910941,151.680890176
15,734534534.535,-1.51068184575,151.563016219
16,736836836.837,-1.50873111858,151.514258503
17,739139139.139,-1.50849565705,151.379089262
18,741441441.441,-1.49909365182,151.288364213
19,743743743.744,-1.50639230002,151.274722885
20,746046046.046,-1.51353325504,151.115809354
21,748348348.348,-1.51385206785,151.046786823
22,750650650.651,-1.52247090356,150.934918124
23,752952952.953,-1.51787687996,150.828272967
24,755255255.255,-1.52303954025,150.773900977
25,757557557.558,-1.50948654609,150.666617819
26,759859859.86,-1.50984304278,150.569996349
27,762162162.162,-1.52497775587,150.519691448
28,764464464.464,-1.51424903653,150.36934585
29,766766766.767,-1.51927862007,150.311362076
30,769069069.069,-1.5195510049,150.25837749
31,771371371.371,-1.52090028268,150.164399204
32,773673673.674,-1.51514463336,150.013544839
33,775975975.976,-1.51694804142,149.937717468
34,778278278.278,-1.52770812199,149.822193955
35,780580580.581,-1.52995283819,149.726010341
36,782882882.883,-1.53523234166,149.627720025
37,785185185.185,-1.52773694001,149.53424717
38,787487487.487,-1.5219214255,149.40199802
39,789789789.79,-1.53474212099,149.354944842
40,792092092.092,-1.55036021113,149.329212458
41,794394394.394,-1.53495003219,149.17489139
42,796696696.697,-1.53707271261,149.062639751
43,798998998.999,-1.53323360045,149.029142783
44,801301301.301,-1.53093110244,148.911014488
45,803603603.604,-1.51737261905,148.847756885
46,805905905.906,-1.52444693801,148.696856916
47,808208208.208,-1.54360381837,148.572341019
48,810510510.511,-1.53986678134,148.481483423
49,812812812.813,-1.52706047823,148.411853571
50,815115115.115,-1.5443571648,148.241457575
51,817417417.417,-1.53193041581,148.192796918
52,819719719.72,-1.52785295464,148.050604711
53,822022022.022,-1.53131972519,148.00222739
54,824324324.324,-1.53416209339,147.902034954
55,826626626.627,-1.54120400535,147.718090406
56,828928928.929,-1.54587648526,147.699934886
57,831231231.231,-1.54159785011,147.60872381
58,833533533.534,-1.54887564425,147.508230656
59,835835835.836,-1.54433407596,147.452371935
60,838138138.138,-1.56448450235,147.330065486
61,840440440.44,-1.55859793058,147.249155001
62,842742742.743,-1.55280607554,147.197350415
63,845045045.045,-1.5520761153,147.045071434
64,847347347.347,-1.5576229305,147.033122687
65,849649649.65,-1.54860316741,146.835739756
66,851951951.952,-1.54911314796,146.829460026
67,854254254.254,-1.55487175247,146.670300353
68,856556556.557,-1.54994182167,146.509614204
69,858858858.859,-1.55805642429,146.475577313
70,861161161.161,-1.55593637841,146.253449212
71,863463463.463,-1.55574453018,146.228365541
72,865765765.766,-1.56049044237,146.128252155
73,868068068.068,-1.55188108431,146.059079818
74,870370370.37,-1.56212299796,145.91456982
75,872672672.673,-1.55949091321,145.892469634
76,874974974.975,-1.5583628758,145.80059789
77,877277277.277,-1.56468956927,145.643379852
78,879579579.58,-1.56259783481,145.60484935
79,881881881.882,-1.56453815266,145.488491086
80,884184184.184,-1.55920994519,145.451162734
81,886486486.486,-1.57370995165,145.327948904
82,888788788.789,-1.57403912739,145.285982122
83,891091091.091,-1.57375804028,145.188250938
84,893393393.393,-1.57350276151,145.051178897
85,895695695.696,-1.58134143728,144.990683584
86,897997997.998,-1.58222854695,144.882684263
87,900300300.3,-1.56879098751,144.810833862
88,902602602.603,-1.58096218216,144.650982945
89,904904904.905,-1.56973322685,144.591591135
90,907207207.207,-1.57154777293,144.544392814
91,909509509.51,-1.57659890844,144.4546257
92,911811811.812,-1.57828965976,144.374169869
93,914114114.114,-1.58011416705,144.273397954
94,916416416.416,-1.57852314904,144.201997647
95,918718718.719,-1.57886687531,144.051925206
96,921021021.021,-1.58894688976,143.933008206
97,923323323.323,-1.59039461588,143.835032344
98,925625625.626,-1.59419827638,143.767259746
99,927927927.928,-1.59235802011,143.700003082
100,930230230.23,-1.59273104627,143.609517434
101,932532532.533,-1.5911928872,143.501224289
102,934834834.835,-1.59317158069,143.438985798
103,937137137.137,-1.59247362206,143.321828122
104,939439439.439,-1.58935381607,143.254844918
105,941741741.742,-1.58392802923,143.1214857
106,944044044.044,-1.60375042409,143.106299275
107,946346346.346,-1.59658781445,143.003237687
108,948648648.649,-1.60334062606,142.863427615
109,950950950.951,-1.60429491114,142.723951241
110,953253253.253,-1.60847873741,142.70237363
111,955555555.556,-1.59927935469,142.674523372
112,957857857.858,-1.60129810244,142.536489731
113,960160160.16,-1.59701380947,142.482287765
114,962462462.462,-1.59377536342,142.354586884
115,964764764.765,-1.59616455712,142.264576737
116,967067067.067,-1.60261998163,142.203504893
117,969369369.369,-1.59702840032,142.073851928
118,971671671.672,-1.59149328806,141.951398184
119,973973973.974,-1.59797549641,141.840586469
120,976276276.276,-1.59527855722,141.723277853
121,978578578.579,-1.60322033585,141.645287498
122,980880880.881,-1.5961570513,141.612277909
123,983183183.183,-1.60376001333,141.538740753
124,985485485.485,-1.60647343786,141.428046128
125,987787787.788,-1.61645787729,141.268868344
