,Frequency, Formatted Data, Formatted Data.1
0,700000000.0,-0.561499939796,-53.4128395361
1,702302302.302,-0.553598481798,-53.5121688933
2,704604604.605,-0.550924764258,-53.7271573716
3,706906906.907,-0.552807995254,-53.8621936858
4,709209209.209,-0.550147308691,-53.9982233266
5,711511511.512,-0.556244703986,-54.1756400603
6,713813813.814,-0.546350161392,-54.3300899424
7,716116116.116,-0.548021315048,-54.4557898382
8,718418418.418,-0.555331014206,-54.6212993447
9,720720720.721,-0.552508371756,-54.7814969714
10,723023023.023,-0.541528660731,-54.9197846027
11,725325325.325,-0.547844230325,-55.1384506823
12,727627627.628,-0.562584891468,-55.3069731724
13,729929929.93,-0.563396685749,-55.4681943579
14,732232232.232,-0.55732773092,-55.701944054
15,734534534.535,-0.568797933425,-55.8131427992
16,736836836.837,-0.555062355135,-55.9686622521
17,739139139.139,-0.567791394657,-56.0951244961
18,741441441.441,-0.562501511358,-56.3154950773
19,743743743.744,-0.560513420063,-56.4767331262
20,746046046.046,-0.556555027554,-56.5278555427
21,748348348.348,-0.570803330805,-56.6990353966
22,750650650.651,-0.571982320852,-56.8302105187
23,752952952.953,-0.565580081731,-57.0210260076
24,755255255.255,-0.57522355212,-57.1568528301
25,757557557.558,-0.577198222494,-57.3486451745
26,759859859.86,-0.576525761051,-57.4769106055
27,762162162.162,-0.57192000457,-57.6727427118
28,764464464.464,-0.573572589994,-57.8171391657
29,766766766.767,-0.576537061463,-57.9302058104
30,769069069.069,-0.572297973256,-58.09685231
31,771371371.371,-0.576076128923,-58.2737453762
32,773673673.674,-0.569295902635,-58.4251006613
33,775975975.976,-0.572956348275,-58.6163819278
34,778278278.278,-0.57607206956,-58.7349485221
35,780580580.581,-0.57509902816,-58.825021678
36,782882882.883,-0.571019463047,-59.0618310628
37,785185185.185,-0.574531360462,-59.2499336238
38,787487487.487,-0.581987941184,-59.3813504606
39,789789789.79,-0.577675058376,-59.5872208023
40,792092092.092,-0.585634319715,-59.6965369454
41,794394394.394,-0.572219826466,-59.8214160657
42,796696696.697,-0.587312358092,-59.9596587973
43,798998998.999,-0.589270333844,-60.0778620205
44,801301301.301,-0.587411031834,-60.2792539406
45,803603603.604,-0.588737257346,-60.4949867618
46,805905905.906,-0.585527171996,-60.5885749283
47,808208208.208,-0.588628021062,-60.7243624144
48,810510510.511,-0.593896472695,-60.8909503304
49,812812812.813,-0.585541763916,-61.0681725101
50,815115115.115,-0.586311068524,-61.1710414633
51,817417417.417,-0.587199021994,-61.3484279589
52,819719719.72,-0.593829388217,-61.498504866
53,822022022.022,-0.594291333214,-61.6007730277
54,824324324.324,-0.5947019837,-61.7129799991
55,826626626.627,-0.597188347715,-61.8988324376
56,828928928.929,-0.601254054596,-62.0987145667
57,831231231.231,-0.599195021747,-62.1998847617
58,833533533.534,-0.597763354021,-62.4016199959
59,835835835.836,-0.601863181923,-62.6188336344
60,838138138.138,-0.603076678405,-62.7978638029
61,840440440.44,-0.600973674952,-62.8708012427
62,842742742.743,-0.600573213173,-63.0578583999
63,845045045.045,-0.607884859308,-63.1573202222
64,847347347.347,-0.601416431337,-63.3608040883
65,849649649.65,-0.595362929627,-63.4548314018
66,851951951.952,-0.602184429869,-63.5838213331
67,854254254.254,-0.608433502507,-63.7834414601
68,856556556.557,-0.612654740378,-63.9275471556
