,Frequency, Formatted Data, Formatted Data.1
0,700000000.0,-1.56686717964,84.3676267105
1,702302302.302,-1.57292439797,83.9522018291
2,704604604.605,-1.57166051195,83.6613082765
3,706906906.907,-1.57199765582,83.278461955
4,709209209.209,-1.58423693838,82.9127647627
5,711511511.512,-1.5810474771,82.6062254538
6,713813813.814,-1.58031473063,82.2245819905
7,716116116.116,-1.57867246092,81.812463152
8,718418418.418,-1.56981373559,81.4107311081
9,720720720.721,-1.5741834183,81.034752799
10,723023023.023,-1.57302223005,80.6941343219
11,725325325.325,-1.57042650157,80.3172758995
12,727627627.628,-1.58181068527,79.9444967489
13,729929929.93,-1.57954389756,79.5941753756
14,732232232.232,-1.58321061129,79.1865565337
15,734534534.535,-1.57609607814,78.7631361358
16,736836836.837,-1.58496347722,78.4504902367
17,739139139.139,-1.57870011708,78.0691749488
18,741441441.441,-1.59054047284,77.7204950709
19,743743743.744,-1.58206769701,77.4081378848
20,746046046.046,-1.58164768598,77.0314987291
21,748348348.348,-1.58302658254,76.6704978959
22,750650650.651,-1.5973926244,76.3156344157
23,752952952.953,-1.58761510574,75.8832680302
24,755255255.255,-1.59345012603,75.5526221357
25,757557557.558,-1.59933279103,75.2122596376
26,759859859.86,-1.59802385576,74.8292701594
27,762162162.162,-1.59145533629,74.4770628494
28,764464464.464,-1.60335621618,74.0818526216
29,766766766.767,-1.60008074855,73.7262347092
30,769069069.069,-1.60455020022,73.369357944
31,771371371.371,-1.59312182618,72.9742614533
32,773673673.674,-1.60504335048,72.6257067363
33,775975975.976,-1.60564378654,72.2492312663
34,778278278.278,-1.60704241407,71.865237001
35,780580580.581,-1.6119894491,71.3599872052
36,782882882.883,-1.61428566277,71.0250291835
37,785185185.185,-1.60199526974,70.6757129618
38,787487487.487,-1.60438063214,70.3686396695
39,789789789.79,-1.61631206284,69.8780147796
40,792092092.092,-1.61713565056,69.5477743348
41,794394394.394,-1.61268691149,69.2095590383
42,796696696.697,-1.62038888172,68.8836373155
43,798998998.999,-1.61969588948,68.4690088922
44,801301301.301,-1.61836089409,68.0391499826
45,803603603.604,-1.61324635333,67.6808225941
46,805905905.906,-1.61693542698,67.2846033473
47,808208208.208,-1.61405160433,66.8828558825
48,810510510.511,-1.62360108267,66.5961395762
49,812812812.813,-1.627320095,66.1958117896
50,815115115.115,-1.61683431895,65.8036647161
51,817417417.417,-1.62914662742,65.3758115387
52,819719719.72,-1.63852383398,65.0794651453
53,822022022.022,-1.62888663581,64.6072470553
54,824324324.324,-1.6356477936,64.307805015
55,826626626.627,-1.62883215408,63.9169411754
56,828928928.929,-1.63380739392,63.5046068831
57,831231231.231,-1.63372360736,63.1567793182
58,833533533.534,-1.63871060521,62.7310619072
59,835835835.836,-1.63768862639,62.4277076285
60,838138138.138,-1.63631056593,62.0366017866
61,840440440.44,-1.64047052495,61.6671491015
62,842742742.743,-1.63984547483,61.2114773465
63,845045045.045,-1.64345442271,60.8881121095
64,847347347.347,-1.64597063318,60.4668492896
65,849649649.65,-1.64282256926,60.0852728204
66,851951951.952,-1.64360905257,59.7574030194
67,854254254.254,-1.65050991589,59.3644852629
68,856556556.557,-1.65455818326,58.921258042
69,858858858.859,-1.64541863727,58.5762804086
70,861161161.161,-1.644551908,58.2264970714
71,863463463.463,-1.66263342502,57.8297502701
72,865765765.766,-1.65520242792,57.4131934996
73,868068068.068,-1.65941683546,57.0503222899
74,870370370.37,-1.64939764613,56.675020055
75,872672672.673,-1.66321446569,56.2762347291
76,874974974.975,-1.66252840569,55.9030354757
77,877277277.277,-1.66121298937,55.5237180391
78,879579579.58,-1.66480143557,55.137317983
79,881881881.882,-1.65799060597,54.7847870421
80,884184184.184,-1.66087132065,54.3851383271
81,886486486.486,-1.66927331064,54.0509937191
