,Frequency, Formatted Data, Formatted Data.1
0,700000000.0,-1.51278301427,83.8954115588
1,702302302.302,-1.51273348339,83.5054592378
2,704604604.605,-1.51973529436,83.1836145282
3,706906906.907,-1.52092276843,82.8175344931
4,709209209.209,-1.52889617953,82.5071439157
5,711511511.512,-1.53353347856,82.1647823085
6,713813813.814,-1.53023625518,81.8097149944
7,716116116.116,-1.53103078906,81.3737834517
8,718418418.418,-1.53042760106,81.0250769895
9,720720720.721,-1.51436072751,80.6693716025
10,723023023.023,-1.50484156112,80.3228729779
11,725325325.325,-1.51797445319,79.9880684244
12,727627627.628,-1.52008013048,79.563429349
13,729929929.93,-1.52327245758,79.2389500632
14,732232232.232,-1.52216003636,78.9207166217
15,734534534.535,-1.53273123616,78.5613335611
16,736836836.837,-1.52969399858,78.0995545316
17,739139139.139,-1.52551439053,77.8225725303
18,741441441.441,-1.52902377974,77.4135044886
19,743743743.744,-1.52581775159,77.1037094023
20,746046046.046,-1.51994818792,76.8140416752
21,748348348.348,-1.52371532019,76.3633379197
22,750650650.651,-1.53647113156,76.0592231049
23,752952952.953,-1.52812211804,75.7004643631
24,755255255.255,-1.53630973716,75.3697974364
25,757557557.558,-1.54135707261,75.0185892856
26,759859859.86,-1.5386770637,74.650870853
27,762162162.162,-1.54272171347,74.2453795953
28,764464464.464,-1.53926350451,73.9121002978
29,766766766.767,-1.53236782259,73.6100253919
30,769069069.069,-1.53260930861,73.1722886175
31,771371371.371,-1.54270061888,72.8392536228
32,773673673.674,-1.53735911771,72.5010333835
33,775975975.976,-1.54627882432,72.1057138765
34,778278278.278,-1.54616790039,71.7023795336
35,780580580.581,-1.54980193334,71.3257061087
36,782882882.883,-1.54267306736,71.0500853634
37,785185185.185,-1.54408790776,70.6127831105
38,787487487.487,-1.55657812179,70.2740598633
39,789789789.79,-1.55973101428,69.9495854589
40,792092092.092,-1.55421954059,69.5521636298
41,794394394.394,-1.55972042259,69.1918090007
42,796696696.697,-1.55083459282,68.8032439531
43,798998998.999,-1.55654416803,68.4604139748
44,801301301.301,-1.54881405064,68.0842513043
45,803603603.604,-1.55293548125,67.6907484132
46,805905905.906,-1.55626254375,67.2790464138
47,808208208.208,-1.55782023353,66.9743779647
48,810510510.511,-1.55846309463,66.5856352799
49,812812812.813,-1.55809478598,66.2176407654
50,815115115.115,-1.5624880174,65.9102897712
51,817417417.417,-1.56730643197,65.4781990462
52,819719719.72,-1.56441079008,65.1897728973
53,822022022.022,-1.56305394364,64.7886558307
54,824324324.324,-1.56564469695,64.4402380153
55,826626626.627,-1.56427933659,64.0709707096
56,828928928.929,-1.57620580103,63.6854631234
57,831231231.231,-1.5733428759,63.3614774495
58,833533533.534,-1.56230095699,62.9223648209
59,835835835.836,-1.57213181243,62.63126481
60,838138138.138,-1.56810602898,62.2444149518
61,840440440.44,-1.56480021178,61.8801511925
62,842742742.743,-1.57124594004,61.523002682
63,845045045.045,-1.57428603748,61.1168445544
64,847347347.347,-1.57667896903,60.7934656572
65,849649649.65,-1.57601709571,60.463470498
66,851951951.952,-1.57734213085,60.0650515528
67,854254254.254,-1.5778157618,59.6389769521
68,856556556.557,-1.58117271102,59.3189445887
69,858858858.859,-1.57678083849,58.9128878744
70,861161161.161,-1.58480959778,58.5107074705
71,863463463.463,-1.58890536941,58.1695753717
72,865765765.766,-1.59404824508,57.8000150972
73,868068068.068,-1.59203864469,57.4718040818
74,870370370.37,-1.5895771081,57.0719358604
75,872672672.673,-1.58689540086,56.6834956716
76,874974974.975,-1.58992106048,56.3315062242
77,877277277.277,-1.588589274,55.9282306827
78,879579579.58,-1.59699218898,55.6085248245
79,881881881.882,-1.58900750832,55.2045755394
80,884184184.184,-1.58859248859,54.878360569
81,886486486.486,-1.59030104353,54.4904011626
82,888788788.789,-1.59299299268,54.1869957019
83,891091091.091,-1.59750376682,53.8095790993
84,893393393.393,-1.60009843049,53.4922573944
85,895695695.696,-1.59968750873,53.1180612322
86,897997997.998,-1.59696237805,52.676195416
87,900300300.3,-1.5988949995,52.3045250865
88,902602602.603,-1.59773689605,51.9821408438
89,904904904.905,-1.60610649544,51.607104902
90,907207207.207,-1.59408267062,51.2488527819
91,909509509.51,-1.59497716354,50.9415172567
92,911811811.812,-1.60148477782,50.5884232515
93,914114114.114,-1.60672242314,50.2423063521
94,916416416.416,-1.6044849436,49.824670289
95,918718718.719,-1.60766548302,49.4749351679
96,921021021.021,-1.60599048949,49.1134834298
97,923323323.323,-1.60403616605,48.7085726377
98,925625625.626,-1.61204800141,48.3934768605
99,927927927.928,-1.61447551591,48.0233501313
100,930230230.23,-1.61805227471,47.6349496427
101,932532532.533,-1.62283178268,47.2746606993
102,934834834.835,-1.62068937092,46.8914910829
103,937137137.137,-1.62015463256,46.5674055691
104,939439439.439,-1.60752022747,46.188692186
105,941741741.742,-1.61730193848,45.7772244651
106,944044044.044,-1.61132473391,45.5125621351
107,946346346.346,-1.61574887966,45.0662767085
108,948648648.649,-1.61778538434,44.7733198795
109,950950950.951,-1.61746345645,44.357118755
110,953253253.253,-1.61606146328,44.0081955655
111,955555555.556,-1.61453549858,43.6683872891
112,957857857.858,-1.61709884354,43.3519721532
113,960160160.16,-1.61083201849,42.98817269
114,962462462.462,-1.61694466864,42.5708932711
115,964764764.765,-1.6148747894,42.2156772981
116,967067067.067,-1.61237681564,41.8254742127
117,969369369.369,-1.61302005398,41.4368033633
118,971671671.672,-1.61744552455,41.0718339322
119,973973973.974,-1.61975283007,40.7112412622
120,976276276.276,-1.61616213853,40.2811299055
121,978578578.579,-1.62220170333,39.942729568
122,980880880.881,-1.62911969652,39.5583091845
123,983183183.183,-1.62690616162,39.2498257263
124,985485485.485,-1.62366382658,38.8881895814
125,987787787.788,-1.62320652036,38.4810969475
126,990090090.09,-1.61579610819,38.1372872887
127,992392392.392,-1.61181057497,37.7228236439
128,994694694.695,-1.61842891397,37.404456086
129,996996996.997,-1.61339366275,37.0296490008
130,999299299.299,-1.61494617239,36.6287988382
131,1001601601.6,-1.61589621242,36.2671876693
132,1003903903.9,-1.61680045814,35.8976362366
133,1006206206.21,-1.61756557475,35.5344330501
134,1008508508.51,-1.61894667835,35.1687079478
135,1010810810.81,-1.61692503581,34.8122727822
136,1013113113.11,-1.61612443707,34.434802121
137,1015415415.42,-1.62245791715,34.0549768364
138,1017717717.72,-1.61727063156,33.6870226974
139,1020020020.02,-1.61679239423,33.3121808412
140,1022322322.32,-1.61628829044,32.9049009754
141,1024624624.62,-1.62064963068,32.5738164116
142,1026926926.93,-1.61226705562,32.2126854165
143,1029229229.23,-1.62031499837,31.8282141361
144,1031531531.53,-1.61718554678,31.4577908268
145,1033833833.83,-1.61659771428,31.063207358
146,1036136136.14,-1.62405624728,30.7173378974
147,1038438438.44,-1.62286563823,30.3281914854
148,1040740740.74,-1.62442583062,29.9924962759
149,1043043043.04,-1.62564516652,29.6204470738
150,1045345345.35,-1.62473372769,29.2519779907
151,1047647647.65,-1.63146165593,28.8481845836
152,1049949949.95,-1.62068549796,28.4809530205
153,1052252252.25,-1.6266240529,28.1227615138
154,1054554554.55,-1.61581042667,27.7875415108
155,1056856856.86,-1.61876610503,27.3490974933
156,1059159159.16,-1.62432372826,27.0492219608
157,1061461461.46,-1.61844076343,26.6544753562
158,1063763763.76,-1.6292352405,26.2800122071
159,1066066066.07,-1.62689279466,25.9165828942
160,1068368368.37,-1.63367925635,25.5330919593
161,1070670670.67,-1.62698288597,25.1090729804
162,1072972972.97,-1.62395292025,24.7911550289
163,1075275275.28,-1.62252394701,24.4663733433
164,1077577577.58,-1.62461832907,24.1089990532
165,1079879879.88,-1.632555528,23.7297790385
166,1082182182.18,-1.62460042008,23.3359494666
167,1084484484.48,-1.6272964892,22.9578197647
168,1086786786.79,-1.62056906841,22.5976919578
169,1089089089.09,-1.62569269624,22.2263082943
170,1091391391.39,-1.62919543757,21.8398909145
171,1093693693.69,-1.61693646942,21.5158597445
172,1095995996.0,-1.62221726585,21.1397605134
173,1098298298.3,-1.62349200382,20.8048622145
174,1100600600.6,-1.62483825359,20.4451845861
175,1102902902.9,-1.62723186529,20.0510594585
176,1105205205.21,-1.62578128709,19.5932622177
177,1107507507.51,-1.62176151147,19.2792463164
178,1109809809.81,-1.62885167348,18.8640092918
179,1112112112.11,-1.63631461759,18.5475120317
180,1114414414.41,-1.63778410682,18.1756486248
181,1116716716.72,-1.62608195804,17.7901067593
182,1119019019.02,-1.63147929,17.4455279477
183,1121321321.32,-1.63619323199,17.1190782684
184,1123623623.62,-1.63790758554,16.7729193393
185,1125925925.93,-1.63792008369,16.3761728563
186,1128228228.23,-1.63568581211,16.0363269781
187,1130530530.53,-1.63897686566,15.5900724057
188,1132832832.83,-1.64006530374,15.2075332115
189,1135135135.14,-1.62958682868,14.8639801296
190,1137437437.44,-1.62512318391,14.5365502311
191,1139739739.74,-1.63144819707,14.1185251571
192,1142042042.04,-1.63808287882,13.8068836726
193,1144344344.34,-1.63775455157,13.3974803244
194,1146646646.65,-1.64262964345,13.1441862388
195,1148948948.95,-1.63873058122,12.7931132205
196,1151251251.25,-1.6320235586,12.4538816873
197,1153553553.55,-1.63410712028,12.064047951
198,1155855855.86,-1.64358023683,11.760277646
199,1158158158.16,-1.63965239925,11.4113564451
200,1160460460.46,-1.63455424597,11.0304951008
201,1162762762.76,-1.63762627317,10.646214492
202,1165065065.07,-1.64041657332,10.2669402665
203,1167367367.37,-1.63088305861,9.87056382028
204,1169669669.67,-1.63679588838,9.49650949962
205,1171971971.97,-1.64284130901,9.12168283648
206,1174274274.27,-1.64559069573,8.75940252247
207,1176576576.58,-1.63241073177,8.40613625874
208,1178878878.88,-1.63837882769,8.0782995755
209,1181181181.18,-1.63394387589,7.74265958532
210,1183483483.48,-1.63503360828,7.3401225114
211,1185785785.79,-1.64114612368,7.02933324238
212,1188088088.09,-1.63253063638,6.66656094333
213,1190390390.39,-1.63257067532,6.34781854081
214,1192692692.69,-1.62519339573,5.96759320177
215,1194994994.99,-1.63688511153,5.66447877006
216,1197297297.3,-1.6339811404,5.2769246464
217,1199599599.6,-1.63681963228,4.95382699925
218,1201901901.9,-1.63774908008,4.59373298319
219,1204204204.2,-1.62740666188,4.23203461746
220,1206506506.51,-1.62658121449,3.89728336552
221,1208808808.81,-1.62925059848,3.53171850666
222,1211111111.11,-1.62831548165,3.18069813966
223,1213413413.41,-1.62850996509,2.84007223842
224,1215715715.72,-1.63557995731,2.52711692648
225,1218018018.02,-1.63554047281,2.13659778224
226,1220320320.32,-1.6254923304,1.78962157034
227,1222622622.62,-1.62146976551,1.39238459351
228,1224924924.92,-1.62817465819,1.08472372991
229,1227227227.23,-1.63620010305,0.754109170406
230,1229529529.53,-1.61842264216,0.389570211298
231,1231831831.83,-1.62551811603,0.0351189717702
232,1234134134.13,-1.62755501761,-0.317121706892
233,1236436436.44,-1.63130466828,-0.66289978912
234,1238738738.74,-1.63157276475,-0.950557064834
235,1241041041.04,-1.63666184249,-1.3262616703
236,1243343343.34,-1.63582659603,-1.67221616429
237,1245645645.65,-1.63185278942,-2.04717637886
238,1247947947.95,-1.64057498256,-2.28869054639
239,1250250250.25,-1.63924672327,-2.69501091511
240,1252552552.55,-1.62927825422,-3.06871490352
241,1254854854.85,-1.63238466981,-3.38879899006
242,1257157157.16,-1.62698347806,-3.73399970647
243,1259459459.46,-1.63051518351,-4.0497706383
244,1261761761.76,-1.63126490725,-4.44454342632
245,1264064064.06,-1.63104827469,-4.80482081568
246,1266366366.37,-1.62430993658,-5.14527080863
247,1268668668.67,-1.62792093104,-5.41080488675
248,1270970970.97,-1.62947829927,-5.72538648041
249,1273273273.27,-1.63116234203,-6.01826055126
250,1275575575.58,-1.6295467504,-6.4018519328
251,1277877877.88,-1.63025335444,-6.69344944465
252,1280180180.18,-1.62360065584,-7.0415623952
253,1282482482.48,-1.61569623979,-7.47208789027
254,1284784784.78,-1.61897656368,-7.78104494381
255,1287087087.09,-1.61863703656,-8.11537148283
256,1289389389.39,-1.62002761693,-8.49393731105
257,1291691691.69,-1.62568585938,-8.82161831639
258,1293993993.99,-1.62569455882,-9.16973631817
259,1296296296.3,-1.61751494271,-9.50289815768
260,1298598598.6,-1.61522145772,-9.7831265945
261,1300900900.9,-1.61411691808,-10.123836357
262,1303203203.2,-1.61035753999,-10.5153622435
263,1305505505.51,-1.61076996071,-10.8696727566
264,1307807807.81,-1.6105479649,-11.2080840433
265,1310110110.11,-1.61367224631,-11.5360484911
266,1312412412.41,-1.60899959153,-11.8495332195
267,1314714714.71,-1.59801552778,-12.1985420845
268,1317017017.02,-1.60420721572,-12.5020891055
269,1319319319.32,-1.59816395773,-12.8314478281
270,1321621621.62,-1.60492390743,-13.1585813812
271,1323923923.92,-1.60108090051,-13.5070723803
272,1326226226.23,-1.60103637583,-13.8496750448
273,1328528528.53,-1.60303645728,-14.1899917743
274,1330830830.83,-1.60554934082,-14.5506572665
275,1333133133.13,-1.61386730476,-14.9277144029
276,1335435435.44,-1.60509636128,-15.204266977
277,1337737737.74,-1.59850836953,-15.4921461066
278,1340040040.04,-1.59973484831,-15.7948449276
279,1342342342.34,-1.60011467181,-16.1237670277
280,1344644644.64,-1.60203108688,-16.3977545335
281,1346946946.95,-1.59494473276,-16.7633612326
282,1349249249.25,-1.59419639666,-17.0736493105
283,1351551551.55,-1.60119858642,-17.3845793297
284,1353853853.85,-1.60077562598,-17.7850768333
285,1356156156.16,-1.5917300589,-18.1087208384
286,1358458458.46,-1.58787218542,-18.4403004553
287,1360760760.76,-1.57547889453,-18.7340622326
288,1363063063.06,-1.58603035826,-19.0911045814
289,1365365365.37,-1.5830819639,-19.3533040894
290,1367667667.67,-1.57791396177,-19.696686581
291,1369969969.97,-1.58389387794,-20.0120168024
292,1372272272.27,-1.57353162712,-20.2737494692
293,1374574574.57,-1.57093553148,-20.6001807023
294,1376876876.88,-1.57085483253,-20.9160641076
295,1379179179.18,-1.57349217725,-21.2815818369
296,1381481481.48,-1.57540947316,-21.5546130428
297,1383783783.78,-1.57569396084,-21.8250861666
298,1386086086.09,-1.56824144803,-22.1940285223
299,1388388388.39,-1.56821195007,-22.5418749973
300,1390690690.69,-1.56686288757,-22.8871862991
301,1392992992.99,-1.56621745469,-23.2118433968
302,1395295295.3,-1.56425787489,-23.4505667871
303,1397597597.6,-1.56027670176,-23.8267545449
304,1399899899.9,-1.54933608048,-24.1195409087
305,1402202202.2,-1.55995981324,-24.4614359521
306,1404504504.5,-1.55746286503,-24.7331911376
307,1406806806.81,-1.55897497389,-25.0826433365
308,1409109109.11,-1.54631662704,-25.4313625932
309,1411411411.41,-1.55218418673,-25.6912818363
310,1413713713.71,-1.54680746254,-26.0346925394
311,1416016016.02,-1.54729549683,-26.3382525935
312,1418318318.32,-1.54857546573,-26.6475982885
313,1420620620.62,-1.54210485866,-26.9628954307
314,1422922922.92,-1.53938601043,-27.3317480525
315,1425225225.23,-1.54780292184,-27.6491991814
316,1427527527.53,-1.55141931815,-27.9787344267
317,1429829829.83,-1.54702567782,-28.2400619846
318,1432132132.13,-1.53658049761,-28.5276771337
319,1434434434.43,-1.54040467766,-28.7963175521
320,1436736736.74,-1.53822815873,-29.0620031354
321,1439039039.04,-1.53267728613,-29.4225006222
322,1441341341.34,-1.52771306364,-29.7621326411
323,1443643643.64,-1.52744531713,-30.0992905606
324,1445945945.95,-1.5255780528,-30.3434218743
325,1448248248.25,-1.52574923644,-30.6890242309
326,1450550550.55,-1.51684667612,-31.0013146702
327,1452852852.85,-1.53454983837,-31.2405421739
328,1455155155.16,-1.5207667304,-31.5801930542
329,1457457457.46,-1.52788093897,-31.8713217569
330,1459759759.76,-1.52374838184,-32.1748249816
331,1462062062.06,-1.51956353402,-32.4602254838
332,1464364364.36,-1.50792791705,-32.7905029645
