,Frequency, Formatted Data, Formatted Data.1
0,700000000.0,-1.17059589995,-159.638303071
1,702302302.302,-1.18104358773,-159.86539185
2,704604604.605,-1.18074294616,-160.184148651
3,706906906.907,-1.1955510107,-160.471641368
4,709209209.209,-1.18584379361,-160.689859844
5,711511511.512,-1.19343315235,-160.91732655
6,713813813.814,-1.18777070304,-161.266983216
7,716116116.116,-1.18725364054,-161.546181973
8,718418418.418,-1.18692386094,-161.767424185
9,720720720.721,-1.19032038929,-162.056433028
10,723023023.023,-1.18055798593,-162.288894934
11,725325325.325,-1.18565193927,-162.561586407
12,727627627.628,-1.18694078366,-162.866643685
13,729929929.93,-1.18793092915,-163.150441287
14,732232232.232,-1.19437295227,-163.462007045
15,734534534.535,-1.19376231191,-163.769352956
16,736836836.837,-1.19041437564,-163.896197032
17,739139139.139,-1.19618893805,-164.182722213
18,741441441.441,-1.19769825378,-164.42206845
19,743743743.744,-1.20173043049,-164.731864579
20,746046046.046,-1.20544795667,-164.964015727
21,748348348.348,-1.20656642418,-165.222038074
22,750650650.651,-1.19994749154,-165.479857909
23,752952952.953,-1.20407271248,-165.796519584
24,755255255.255,-1.20964546706,-166.014446786
25,757557557.558,-1.22105292252,-166.286268626
26,759859859.86,-1.20597864408,-166.492829951
27,762162162.162,-1.22167872153,-166.81941556
28,764464464.464,-1.21190533942,-167.121123102
29,766766766.767,-1.21292333366,-167.340501062
30,769069069.069,-1.21539602937,-167.613576846
31,771371371.371,-1.21941295944,-167.77807922
32,773673673.674,-1.21755478496,-168.115407547
33,775975975.976,-1.21677666675,-168.366129798
34,778278278.278,-1.20763554671,-168.576582658
35,780580580.581,-1.20961045443,-168.910599152
36,782882882.883,-1.21508483032,-169.171249576
37,785185185.185,-1.21195594992,-169.356435211
38,787487487.487,-1.21581314207,-169.69055887
39,789789789.79,-1.23448580705,-169.875237832
40,792092092.092,-1.23136749128,-170.154688631
41,794394394.394,-1.23741593399,-170.393248925
42,796696696.697,-1.23607850165,-170.573217904
43,798998998.999,-1.22592752997,-170.810499859
44,801301301.301,-1.2271220378,-171.084528745
45,803603603.604,-1.2260047435,-171.328962017
46,805905905.906,-1.22807726611,-171.727872588
47,808208208.208,-1.2236956152,-171.908609321
48,810510510.511,-1.22811538323,-172.159875079
49,812812812.813,-1.23382770834,-172.4069156
50,815115115.115,-1.23562587275,-172.675619085
51,817417417.417,-1.22695252677,-172.942869634
52,819719719.72,-1.22883987518,-173.147701709
53,822022022.022,-1.23419349842,-173.391405641
54,824324324.324,-1.23451340696,-173.662293736
55,826626626.627,-1.24013260069,-173.885427522
56,828928928.929,-1.2351776824,-174.095531984
57,831231231.231,-1.24658924867,-174.395214977
58,833533533.534,-1.24338867424,-174.639738883
59,835835835.836,-1.24717699381,-174.872668728
60,838138138.138,-1.25938196712,-175.105032808
61,840440440.44,-1.25272043687,-175.40411327
62,842742742.743,-1.24644240372,-175.569462776
63,845045045.045,-1.24585469028,-175.826713124
64,847347347.347,-1.24755552211,-176.074715341
65,849649649.65,-1.23571556614,-176.297494268
66,851951951.952,-1.25105793979,-176.558831943
67,854254254.254,-1.2551315662,-176.842071371
68,856556556.557,-1.26599553435,-177.057206491
69,858858858.859,-1.25231630608,-177.2679195
70,861161161.161,-1.25053903257,-177.573071873
71,863463463.463,-1.25842296285,-177.850433076
72,865765765.766,-1.25771965691,-177.990712001
73,868068068.068,-1.25349087801,-178.289498959
74,870370370.37,-1.25905858222,-178.480944394
75,872672672.673,-1.25457710268,-178.760099356
76,874974974.975,-1.25369099779,-178.908195382
77,877277277.277,-1.2563767679,-179.216647062
78,879579579.58,-1.264760989,-179.403072894
79,881881881.882,-1.26130947609,-179.679046387
80,884184184.184,-1.26029026271,-179.872827002
81,886486486.486,-1.27742954836,179.862406577
82,888788788.789,-1.28462796155,179.624911072
83,891091091.091,-1.27335161441,179.437230382
84,893393393.393,-1.27110588696,179.206552973
85,895695695.696,-1.28012922095,179.005989725
86,897997997.998,-1.28285141002,178.721394337
87,900300300.3,-1.28001638173,178.474596849
88,902602602.603,-1.27204932707,178.244185512
89,904904904.905,-1.27733640022,178.000513123
90,907207207.207,-1.27690627025,177.782988001
91,909509509.51,-1.29181575474,177.622656052
92,911811811.812,-1.2872356742,177.41549216
93,914114114.114,-1.28446846595,177.156150525
94,916416416.416,-1.28840565438,176.900167383
95,918718718.719,-1.29106956182,176.692862676
96,921021021.021,-1.28899210051,176.494201067
97,923323323.323,-1.28476147796,176.20594044
98,925625625.626,-1.29536311496,176.034897504
