,Frequency, Formatted Data, Formatted Data.1
0,700000000.0,-0.549481802635,-52.4301043463
1,702302302.302,-0.549369939013,-52.584572574
2,704604604.605,-0.5394203675,-52.7002882137
3,706906906.907,-0.549198989583,-52.8745555081
4,709209209.209,-0.537534961757,-53.0439144499
5,711511511.512,-0.549091937457,-53.1735615375
6,713813813.814,-0.542327794767,-53.3540153445
7,716116116.116,-0.536199219862,-53.5178910135
8,718418418.418,-0.536428030646,-53.6539819758
9,720720720.721,-0.538430853526,-53.7921629699
10,723023023.023,-0.547577494561,-53.9689583814
11,725325325.325,-0.536950283697,-54.1656976114
12,727627627.628,-0.556150139423,-54.3126853878
13,729929929.93,-0.553155391551,-54.4957623
14,732232232.232,-0.555591604024,-54.6722525023
15,734534534.535,-0.555788867349,-54.8523373248
16,736836836.837,-0.550088996087,-54.9719199355
17,739139139.139,-0.561970154535,-55.1452971624
18,741441441.441,-0.559106688847,-55.248293977
19,743743743.744,-0.558191574532,-55.426368804
20,746046046.046,-0.558303197965,-55.616259442
21,748348348.348,-0.559984062042,-55.6995223105
22,750650650.651,-0.556910456542,-55.8589200166
23,752952952.953,-0.573973177948,-55.9891177701
24,755255255.255,-0.568895372877,-56.10902388
25,757557557.558,-0.567672264029,-56.3343207666
26,759859859.86,-0.567261930798,-56.4619301142
27,762162162.162,-0.571375928682,-56.6136048021
28,764464464.464,-0.563172509925,-56.8094515047
29,766766766.767,-0.563469997361,-56.9451000382
30,769069069.069,-0.568097078004,-57.139363343
31,771371371.371,-0.569298672602,-57.2933690895
32,773673673.674,-0.557380162176,-57.4435291357
33,775975975.976,-0.567792408474,-57.5331226145
34,778278278.278,-0.565314774723,-57.7455033671
35,780580580.581,-0.568932436114,-57.8705333181
36,782882882.883,-0.569870621948,-58.0520068318
37,785185185.185,-0.567433337546,-58.2076714981
38,787487487.487,-0.56154060812,-58.383035746
39,789789789.79,-0.570970271614,-58.5424695659
40,792092092.092,-0.571314280663,-58.7029594371
41,794394394.394,-0.57580847973,-58.8069071705
42,796696696.697,-0.572208944697,-58.9733161
43,798998998.999,-0.581919695978,-59.0934619384
44,801301301.301,-0.584981332023,-59.2420339433
45,803603603.604,-0.578332432628,-59.413525746
46,805905905.906,-0.581990628685,-59.5909100069
47,808208208.208,-0.580625709121,-59.7284778924
48,810510510.511,-0.580079199813,-59.9214058838
49,812812812.813,-0.577224400274,-60.0249764414
50,815115115.115,-0.579935403302,-60.1172971027
51,817417417.417,-0.579361845482,-60.3337730922
52,819719719.72,-0.578589944617,-60.4564388153
53,822022022.022,-0.581302864979,-60.5853660303
54,824324324.324,-0.590600459675,-60.7329743018
55,826626626.627,-0.584322977304,-60.8559894395
