,Frequency, Formatted Data, Formatted Data.1
0,700000000.0,-1.53371710856,131.264273953
1,702302302.302,-1.53427993312,131.094622314
2,704604604.605,-1.53541683177,130.923243053
3,706906906.907,-1.54295365345,130.742466339
4,709209209.209,-1.54100829748,130.613400863
5,711511511.512,-1.55610285606,130.403093376
6,713813813.814,-1.54575208262,130.251465277
7,716116116.116,-1.54750094998,130.109643249
8,718418418.418,-1.54409404251,129.894614972
9,720720720.721,-1.54805176891,129.663006167
10,723023023.023,-1.52537604856,129.484471583
11,725325325.325,-1.54256520294,129.291517917
12,727627627.628,-1.54642889349,129.177189459
13,729929929.93,-1.54286120525,129.020641286
14,732232232.232,-1.55033745213,128.779095637
15,734534534.535,-1.54872416234,128.66398479
16,736836836.837,-1.55582838874,128.441131182
17,739139139.139,-1.55610751128,128.295233964
18,741441441.441,-1.5540510335,128.16200575
19,743743743.744,-1.54619639555,127.949017321
20,746046046.046,-1.5526387013,127.782350136
21,748348348.348,-1.56197254973,127.615378751
22,750650650.651,-1.55965902652,127.449590204
23,752952952.953,-1.56750827426,127.262337324
24,755255255.255,-1.56730104932,127.061870864
25,757557557.558,-1.56900135867,126.868237603
26,759859859.86,-1.56613249552,126.66740672
27,762162162.162,-1.57131067736,126.592449775
28,764464464.464,-1.56196604821,126.313640847
29,766766766.767,-1.57959358365,126.176742619
30,769069069.069,-1.5763107503,126.018428035
31,771371371.371,-1.57547684141,125.774527372
32,773673673.674,-1.57988101183,125.675151859
33,775975975.976,-1.57249926657,125.446111533
34,778278278.278,-1.57046072173,125.221798265
35,780580580.581,-1.56982142325,125.064709086
36,782882882.883,-1.58676871625,124.82157178
37,785185185.185,-1.57473320376,124.736868075
38,787487487.487,-1.58648239891,124.488207543
39,789789789.79,-1.59595951388,124.386115985
40,792092092.092,-1.59196486635,124.177530018
41,794394394.394,-1.58675699134,123.88891119
42,796696696.697,-1.59429740839,123.818293973
43,798998998.999,-1.5899661554,123.675549076
44,801301301.301,-1.57816077726,123.377937375
45,803603603.604,-1.58197536846,123.164572977
46,805905905.906,-1.58738192843,122.941072287
47,808208208.208,-1.58715074234,122.802536612
48,810510510.511,-1.5894339568,122.63856751
49,812812812.813,-1.59205118432,122.394149088
50,815115115.115,-1.59315254568,122.218601375
51,817417417.417,-1.60292230017,122.020154684
52,819719719.72,-1.59251971761,121.82790118
53,822022022.022,-1.59143661964,121.637473738
54,824324324.324,-1.60509936211,121.438920144
55,826626626.627,-1.60854684941,121.251045358
56,828928928.929,-1.59794822044,121.097143662
57,831231231.231,-1.59753165824,120.942742618
58,833533533.534,-1.6057149729,120.721164112
59,835835835.836,-1.61293356603,120.568506901
60,838138138.138,-1.61823870903,120.388562972
61,840440440.44,-1.61348382704,120.161978247
62,842742742.743,-1.61452209037,120.037671463
63,845045045.045,-1.61444471512,119.805987723
64,847347347.347,-1.61448456213,119.63380474
65,849649649.65,-1.60577176122,119.428446386
66,851951951.952,-1.61240805068,119.143127331
67,854254254.254,-1.61582481927,118.97956069
68,856556556.557,-1.62791088435,118.848343511
69,858858858.859,-1.62400207784,118.576143104
70,861161161.161,-1.62314529036,118.426809511
71,863463463.463,-1.62575914698,118.235840215
72,865765765.766,-1.63407188377,118.007493889
73,868068068.068,-1.6337134468,117.829620278
74,870370370.37,-1.63174865897,117.628248204
75,872672672.673,-1.64093786435,117.401433724
76,874974974.975,-1.6389282294,117.247742918
77,877277277.277,-1.64123713638,117.021720143
78,879579579.58,-1.63893563036,116.851069122
79,881881881.882,-1.64363325914,116.660179243
80,884184184.184,-1.63738315043,116.515195097
81,886486486.486,-1.64602736759,116.330026791
82,888788788.789,-1.64657369826,116.058517918
83,891091091.091,-1.65607193834,115.969554036
84,893393393.393,-1.65951526798,115.748641527
85,895695695.696,-1.66023035691,115.553649812
86,897997997.998,-1.66148415668,115.328771194
87,900300300.3,-1.65948172649,115.13275379
88,902602602.603,-1.66575568236,114.92456806
89,904904904.905,-1.66732991594,114.724754592
90,907207207.207,-1.65973771777,114.584746379
91,909509509.51,-1.66240703993,114.419447098
92,911811811.812,-1.66671501554,114.194124338
93,914114114.114,-1.67125758417,114.083542195
94,916416416.416,-1.67219600838,113.911949311
95,918718718.719,-1.67642750536,113.702572674
96,921021021.021,-1.67840320326,113.502388201
97,923323323.323,-1.67778799127,113.239284997
98,925625625.626,-1.68570063963,113.067978849
99,927927927.928,-1.6949092869,112.913260887
100,930230230.23,-1.69420098679,112.735805058
101,932532532.533,-1.69868620454,112.483006365
102,934834834.835,-1.70136365452,112.353171922
103,937137137.137,-1.69682498337,112.18359137
104,939439439.439,-1.70044252455,111.924119827
105,941741741.742,-1.69867975336,111.692707725
106,944044044.044,-1.70554143311,111.489014568
107,946346346.346,-1.70362349176,111.33517199
108,948648648.649,-1.70725088708,111.206957487
109,950950950.951,-1.71442677343,110.957776528
110,953253253.253,-1.71372540675,110.858689547
111,955555555.556,-1.71619660482,110.634027973
112,957857857.858,-1.71136191594,110.440319476
113,960160160.16,-1.71049420737,110.203722578
114,962462462.462,-1.7211825325,110.06274785
115,964764764.765,-1.70859374561,109.848774942
116,967067067.067,-1.71627339031,109.632360525
117,969369369.369,-1.71420777368,109.436428587
118,971671671.672,-1.72231652192,109.222669824
119,973973973.974,-1.72178470708,108.985500563
120,976276276.276,-1.72625129234,108.801478467
121,978578578.579,-1.72466536617,108.650821622
122,980880880.881,-1.72250554205,108.451796687
123,983183183.183,-1.72550641739,108.278417025
124,985485485.485,-1.73148898867,108.102563823
125,987787787.788,-1.73997391862,107.886397114
126,990090090.09,-1.73167056868,107.750842666
127,992392392.392,-1.74133030027,107.554487824
128,994694694.695,-1.74636898883,107.322421081
129,996996996.997,-1.73473587209,107.123650987
130,999299299.299,-1.7374572219,106.907794278
131,1001601601.6,-1.74848844425,106.692553676
132,1003903903.9,-1.73569711108,106.562519956
133,1006206206.21,-1.74443118748,106.312124621
134,1008508508.51,-1.74240732445,106.066075085
135,1010810810.81,-1.74302773728,105.849130865
136,1013113113.11,-1.7511729598,105.65381475
137,1015415415.42,-1.74350920937,105.424710106
138,1017717717.72,-1.74115464755,105.252344758
139,1020020020.02,-1.73884552145,105.005783454
140,1022322322.32,-1.74062555056,104.86233381
141,1024624624.62,-1.7484922772,104.676888021
142,1026926926.93,-1.75535468528,104.410389489
143,1029229229.23,-1.7579602174,104.255282915
144,1031531531.53,-1.76039655931,103.998609345
145,1033833833.83,-1.7495090549,103.858788076
146,1036136136.14,-1.7604545852,103.590187434
147,1038438438.44,-1.76935683108,103.399091418
148,1040740740.74,-1.7567670427,103.139358173
149,1043043043.04,-1.75025749311,102.943178435
150,1045345345.35,-1.75555896219,102.722641903
151,1047647647.65,-1.77210633581,102.533563537
152,1049949949.95,-1.77372640018,102.304962908
153,1052252252.25,-1.76216386068,102.066193553
154,1054554554.55,-1.77783189662,101.860785768
155,1056856856.86,-1.7621594198,101.626846156
156,1059159159.16,-1.77061436508,101.444522562
157,1061461461.46,-1.77343129251,101.207964656
158,1063763763.76,-1.77940240271,101.02591752
159,1066066066.07,-1.77200234283,100.809129894
160,1068368368.37,-1.78116747634,100.535068775
161,1070670670.67,-1.77670676571,100.419225079
162,1072972972.97,-1.77410486064,100.193835945
163,1075275275.28,-1.78458200234,99.9475479903
164,1077577577.58,-1.78031084971,99.6889365184
165,1079879879.88,-1.78372628123,99.4824972217
166,1082182182.18,-1.78392004407,99.3183087751
167,1084484484.48,-1.78162785709,99.0229646321
168,1086786786.79,-1.79388932186,98.8862545273
169,1089089089.09,-1.79784425516,98.6532004933
170,1091391391.39,-1.79460378679,98.4730245386
171,1093693693.69,-1.79516638714,98.2622371711
172,1095995996.0,-1.79730744455,98.0853133543
173,1098298298.3,-1.80426282466,97.8690398495
174,1100600600.6,-1.80757442185,97.6602705224
175,1102902902.9,-1.80617843565,97.402901028
176,1105205205.21,-1.80384445237,97.2071949411
177,1107507507.51,-1.81403715748,96.9744780909
178,1109809809.81,-1.8119620387,96.7172165378
179,1112112112.11,-1.82050995575,96.5433579795
180,1114414414.41,-1.82204156127,96.3517575664
181,1116716716.72,-1.82408348254,96.1172239358
182,1119019019.02,-1.81994655368,95.8679869093
183,1121321321.32,-1.82632875638,95.6457389249
184,1123623623.62,-1.82575597977,95.4159291296
185,1125925925.93,-1.82311982235,95.1671952835
186,1128228228.23,-1.82416670892,94.9954448586
187,1130530530.53,-1.8314497597,94.7282679934
188,1132832832.83,-1.83684652153,94.5073563387
