,Frequency, Formatted Data, Formatted Data.1
0,700000000.0,-1.5117820447,85.0589701429
1,702302302.302,-1.52503950069,84.7499869094
2,704604604.605,-1.51862451002,84.3674507653
3,706906906.907,-1.52545974315,83.9839745251
4,709209209.209,-1.53870609484,83.6674327741
5,711511511.512,-1.5293683506,83.4163499778
6,713813813.814,-1.52318497359,83.0145162861
7,716116116.116,-1.52011152768,82.6654424745
8,718418418.418,-1.51486894748,82.3306801392
9,720720720.721,-1.51056524764,81.9745294251
10,723023023.023,-1.50346560298,81.5477945271
11,725325325.325,-1.51809357618,81.2083308898
12,727627627.628,-1.52448530969,80.8461559802
13,729929929.93,-1.52586652116,80.5119482031
14,732232232.232,-1.52336314327,80.1685437797
15,734534534.535,-1.52561094046,79.8333130506
16,736836836.837,-1.52830464606,79.4983047192
17,739139139.139,-1.52666716726,79.1713850144
18,741441441.441,-1.5136869954,78.8107136437
19,743743743.744,-1.52213986049,78.4837907357
20,746046046.046,-1.52246426608,78.1743320087
21,748348348.348,-1.52616781571,77.75300776
22,750650650.651,-1.52011850227,77.4518723695
23,752952952.953,-1.53115035839,77.0629666535
24,755255255.255,-1.5300132652,76.7202435897
25,757557557.558,-1.53277530075,76.3950775134
26,759859859.86,-1.53019630408,76.04954865
27,762162162.162,-1.5344851763,75.6297725364
28,764464464.464,-1.53316793606,75.3656356939
29,766766766.767,-1.53338983336,75.015178887
30,769069069.069,-1.53642413756,74.6922099315
31,771371371.371,-1.53253548389,74.3371007547
32,773673673.674,-1.53953222378,73.9160408327
33,775975975.976,-1.53889300006,73.5799697182
34,778278278.278,-1.54109287466,73.18110712
35,780580580.581,-1.54553633707,72.812099023
36,782882882.883,-1.53435008647,72.4478721466
37,785185185.185,-1.54884829718,72.1450700503
38,787487487.487,-1.54559556703,71.7451236486
39,789789789.79,-1.54643664653,71.4160083928
40,792092092.092,-1.53997728374,71.1491170633
41,794394394.394,-1.54787650497,70.7185861433
42,796696696.697,-1.54712240731,70.3583122892
43,798998998.999,-1.54972024914,70.0035660006
44,801301301.301,-1.55022997632,69.6267634743
45,803603603.604,-1.55408232198,69.2559093116
46,805905905.906,-1.55418443087,68.888112811
47,808208208.208,-1.55119348048,68.5107512442
48,810510510.511,-1.55333504134,68.1545901334
49,812812812.813,-1.5624857877,67.8802729718
50,815115115.115,-1.5586586426,67.4607469759
51,817417417.417,-1.55299981621,67.0537255086
52,819719719.72,-1.55749682874,66.7787964056
53,822022022.022,-1.55726933781,66.3860685285
54,824324324.324,-1.5625851957,66.0264461967
55,826626626.627,-1.56254177371,65.7092553105
56,828928928.929,-1.56304056517,65.3522706687
57,831231231.231,-1.56726190682,64.9927311237
58,833533533.534,-1.55793663213,64.5859293184
59,835835835.836,-1.5636959101,64.2864282185
60,838138138.138,-1.55264094387,63.9422462627
61,840440440.44,-1.56485997223,63.552464173
62,842742742.743,-1.56227879809,63.2127357906
63,845045045.045,-1.57331160848,62.8677489666
64,847347347.347,-1.57490623283,62.4772516376
65,849649649.65,-1.56372639818,62.1297563058
66,851951951.952,-1.57595290963,61.7418467398
67,854254254.254,-1.5785041936,61.4175499363
68,856556556.557,-1.57188602065,61.016848068
69,858858858.859,-1.57648371651,60.6830559212
70,861161161.161,-1.57659163665,60.3329064575
71,863463463.463,-1.58054825629,59.9567553371
72,865765765.766,-1.58006766241,59.5921619618
73,868068068.068,-1.58656229358,59.2775015831
74,870370370.37,-1.58130117957,58.881344813
75,872672672.673,-1.58238334632,58.5111042105
76,874974974.975,-1.589655749,58.1427965282
77,877277277.277,-1.57739404394,57.7928084832
78,879579579.58,-1.58187370534,57.4308056267
79,881881881.882,-1.58779794528,57.0426940107
80,884184184.184,-1.59152346701,56.7614710127
81,886486486.486,-1.595090741,56.4146581554
82,888788788.789,-1.58443786772,56.0036682
83,891091091.091,-1.58326444029,55.7109969005
84,893393393.393,-1.59028886382,55.3373105365
85,895695695.696,-1.5904324504,55.0172142757
86,897997997.998,-1.58810862231,54.5718630591
87,900300300.3,-1.59234982273,54.2545808581
88,902602602.603,-1.59397647385,53.8988927154
89,904904904.905,-1.59080915684,53.5459834641
90,907207207.207,-1.59768691345,53.1955564522
91,909509509.51,-1.59416076859,52.7953697409
92,911811811.812,-1.59273470759,52.5560388381
93,914114114.114,-1.60146762116,52.1888808884
94,916416416.416,-1.60054542634,51.8299667039
95,918718718.719,-1.59995891954,51.4564296741
96,921021021.021,-1.60601601508,51.1196782957
97,923323323.323,-1.60135712704,50.7024284731
98,925625625.626,-1.60883670405,50.3708710543
99,927927927.928,-1.60585232961,50.0119913591
100,930230230.23,-1.61081310449,49.6442655813
101,932532532.533,-1.60813645435,49.3073733094
102,934834834.835,-1.61953598583,48.9534147114
103,937137137.137,-1.61060079325,48.5866480441
104,939439439.439,-1.60656691441,48.2096934331
105,941741741.742,-1.61071031988,47.9218002031
106,944044044.044,-1.61262608516,47.5344981091
107,946346346.346,-1.60791309176,47.181163445
108,948648648.649,-1.613038172,46.8183123622
109,950950950.951,-1.60877315113,46.4141382785
110,953253253.253,-1.61201098683,46.1541668643
111,955555555.556,-1.61504915749,45.7364022952
112,957857857.858,-1.61367137485,45.4235342217
113,960160160.16,-1.60802630958,45.0770980095
114,962462462.462,-1.60068739149,44.7176935417
115,964764764.765,-1.61202685233,44.3412005089
116,967067067.067,-1.61083048588,43.9506447178
117,969369369.369,-1.61234096674,43.6132490183
118,971671671.672,-1.61569321855,43.2535460429
119,973973973.974,-1.61743343825,42.8173234989
120,976276276.276,-1.61524841874,42.4468918028
121,978578578.579,-1.62145260718,42.1163643802
122,980880880.881,-1.61183582804,41.778797045
123,983183183.183,-1.61171544729,41.4076386074
124,985485485.485,-1.62143050641,41.1549277306
125,987787787.788,-1.61193347042,40.7289202833
126,990090090.09,-1.61232293462,40.3587064167
127,992392392.392,-1.61352371046,39.9546355838
128,994694694.695,-1.60900884187,39.6614634149
129,996996996.997,-1.60865484062,39.2843321708
130,999299299.299,-1.6149105884,38.8587228772
