,Frequency, Formatted Data, Formatted Data.1
0,700000000.0,-0.781525968446,-104.409197554
1,702302302.302,-0.780682225114,-104.68121818
2,704604604.605,-0.780072979994,-105.037213842
3,706906906.907,-0.790833544033,-105.21957124
4,709209209.209,-0.790420021625,-105.527528883
5,711511511.512,-0.786769495345,-105.793796837
6,713813813.814,-0.793482121236,-106.057310836
7,716116116.116,-0.790975320587,-106.325034725
8,718418418.418,-0.784919267556,-106.564957906
9,720720720.721,-0.786422526229,-106.824628776
10,723023023.023,-0.795240707337,-107.139339815
11,725325325.325,-0.801400178748,-107.379201375
12,727627627.628,-0.797581373297,-107.635195383
13,729929929.93,-0.806324577067,-107.888660588
14,732232232.232,-0.806835356037,-108.210334108
15,734534534.535,-0.804940770586,-108.5021226
16,736836836.837,-0.817069917682,-108.748577018
17,739139139.139,-0.802021020862,-109.054311048
18,741441441.441,-0.810205849653,-109.248841821
19,743743743.744,-0.80509090477,-109.487633321
20,746046046.046,-0.817176526746,-109.801478562
21,748348348.348,-0.815198856807,-110.036821097
22,750650650.651,-0.822446630125,-110.29039164
23,752952952.953,-0.815161951303,-110.543548304
24,755255255.255,-0.821972726749,-110.774129082
25,757557557.558,-0.821113340092,-111.029684471
26,759859859.86,-0.817813461281,-111.308227811
27,762162162.162,-0.812396766858,-111.593498684
28,764464464.464,-0.816635659988,-111.927316854
29,766766766.767,-0.823936547168,-112.039172185
30,769069069.069,-0.822088589551,-112.366758134
31,771371371.371,-0.820934128596,-112.65148386
32,773673673.674,-0.815487987582,-112.916832067
33,775975975.976,-0.823529472709,-113.157321112
34,778278278.278,-0.812190849033,-113.441725517
35,780580580.581,-0.812909416884,-113.63095744
36,782882882.883,-0.823909430919,-113.930614086
37,785185185.185,-0.829614062953,-114.190330712
38,787487487.487,-0.838233865848,-114.450022094
39,789789789.79,-0.833862194047,-114.702809122
40,792092092.092,-0.843735639872,-114.964894216
41,794394394.394,-0.829424286048,-115.163884344
42,796696696.697,-0.840046813025,-115.462849993
43,798998998.999,-0.836815701506,-115.640794189
44,801301301.301,-0.835074570123,-115.946564565
45,803603603.604,-0.838658166633,-116.137654949
46,805905905.906,-0.836386358005,-116.436157892
47,808208208.208,-0.836101628755,-116.666805253
48,810510510.511,-0.830845646815,-116.959691285
49,812812812.813,-0.835883923614,-117.163831388
50,815115115.115,-0.830137085641,-117.431632561
51,817417417.417,-0.84070430083,-117.727507601
52,819719719.72,-0.843634578125,-117.93782296
53,822022022.022,-0.852554432367,-118.156872687
54,824324324.324,-0.84367363361,-118.429229412
55,826626626.627,-0.849488754673,-118.690106265
56,828928928.929,-0.843906807018,-118.964865585
57,831231231.231,-0.856965269247,-119.232369923
58,833533533.534,-0.850771288566,-119.424069079
59,835835835.836,-0.85072630916,-119.682824145
60,838138138.138,-0.858652757127,-119.92308301
61,840440440.44,-0.858996226074,-120.235818287
62,842742742.743,-0.853240596725,-120.421132929
63,845045045.045,-0.854280018721,-120.703822393
64,847347347.347,-0.849381544806,-120.912926349
65,849649649.65,-0.849950420598,-121.145098144
66,851951951.952,-0.856472424863,-121.462093282
67,854254254.254,-0.857863463623,-121.626777011
68,856556556.557,-0.854114525865,-121.852374216
69,858858858.859,-0.857264808473,-122.208846609
70,861161161.161,-0.856803455485,-122.394189873
71,863463463.463,-0.861090229921,-122.676675588
72,865765765.766,-0.866031745888,-122.872922283
73,868068068.068,-0.860178814153,-123.150545329
74,870370370.37,-0.84905256176,-123.391706802
75,872672672.673,-0.850352969839,-123.698240029
76,874974974.975,-0.871774539237,-123.850720897
77,877277277.277,-0.854124051723,-124.087722559
78,879579579.58,-0.865973043477,-124.339895284
79,881881881.882,-0.870462022992,-124.485220645
80,884184184.184,-0.868964971439,-124.755279524
81,886486486.486,-0.876600497921,-125.017180633
82,888788788.789,-0.877140698272,-125.22450501
83,891091091.091,-0.884121228694,-125.483145267
84,893393393.393,-0.879369261089,-125.696739836
85,895695695.696,-0.877215704086,-125.935816661
86,897997997.998,-0.882183302831,-126.193537215
87,900300300.3,-0.873360461754,-126.450923615
88,902602602.603,-0.875843795715,-126.693105942
89,904904904.905,-0.88643450758,-126.899935027
90,907207207.207,-0.879325222713,-127.058499709
91,909509509.51,-0.888512284657,-127.305559425
92,911811811.812,-0.878417676539,-127.636769052
93,914114114.114,-0.887481270655,-127.808887594
94,916416416.416,-0.888084672282,-128.019826612
95,918718718.719,-0.885914454319,-128.333506618
96,921021021.021,-0.890876395849,-128.483868168
97,923323323.323,-0.890502986035,-128.719674122
98,925625625.626,-0.891751029663,-128.966042368
99,927927927.928,-0.887172384958,-129.193265929
