,Frequency, Formatted Data, Formatted Data.1
0,700000000.0,-1.17430534842,-159.112692673
1,702302302.302,-1.17208871432,-159.356434459
2,704604604.605,-1.17725134734,-159.637925745
3,706906906.907,-1.19422747751,-159.918252932
4,709209209.209,-1.18772691843,-160.156040176
5,711511511.512,-1.18628875286,-160.457985741
6,713813813.814,-1.19635436364,-160.676055998
7,716116116.116,-1.18708304538,-160.963076005
8,718418418.418,-1.18222189355,-161.151378927
9,720720720.721,-1.18675208749,-161.468572067
10,723023023.023,-1.18705367433,-161.704378276
11,725325325.325,-1.1965715697,-161.983663224
12,727627627.628,-1.19508087302,-162.276815722
13,729929929.93,-1.19521891449,-162.506779646
14,732232232.232,-1.1934465498,-162.70797088
15,734534534.535,-1.19293029783,-163.050024409
16,736836836.837,-1.19709622061,-163.236018283
17,739139139.139,-1.18870453137,-163.507329791
18,741441441.441,-1.18499731372,-163.713176541
19,743743743.744,-1.20068991803,-163.973662274
20,746046046.046,-1.19458768264,-164.251322773
21,748348348.348,-1.19901328111,-164.48543673
22,750650650.651,-1.20900139751,-164.695182099
23,752952952.953,-1.20642062353,-165.007017406
24,755255255.255,-1.2027959293,-165.199954032
25,757557557.558,-1.21920028778,-165.494417182
26,759859859.86,-1.21268069384,-165.740573977
27,762162162.162,-1.21408029726,-165.994693813
28,764464464.464,-1.21271414984,-166.281899785
29,766766766.767,-1.20811236246,-166.513151115
30,769069069.069,-1.2106224361,-166.676051211
31,771371371.371,-1.21447707645,-166.972425679
32,773673673.674,-1.21304751373,-167.317249223
33,775975975.976,-1.21026133772,-167.431775084
34,778278278.278,-1.20780407768,-167.695684772
35,780580580.581,-1.20732524311,-167.964877824
36,782882882.883,-1.22688557395,-168.256892943
37,785185185.185,-1.22545368713,-168.440643885
38,787487487.487,-1.23191720272,-168.744425446
39,789789789.79,-1.22913037732,-168.879757518
40,792092092.092,-1.22820220607,-169.205132622
41,794394394.394,-1.23261165031,-169.356996136
42,796696696.697,-1.23008294055,-169.589897535
43,798998998.999,-1.22990357461,-169.885192094
44,801301301.301,-1.2171348163,-170.049785862
45,803603603.604,-1.21547718057,-170.408334859
46,805905905.906,-1.22433862849,-170.606075073
47,808208208.208,-1.22610491133,-170.846278624
48,810510510.511,-1.23409127102,-171.098305057
49,812812812.813,-1.22967453144,-171.31311659
50,815115115.115,-1.23447303158,-171.55151535
51,817417417.417,-1.23280184209,-171.75493027
52,819719719.72,-1.22941991092,-172.043398222
53,822022022.022,-1.23725209103,-172.291795602
54,824324324.324,-1.2328093574,-172.505257579
55,826626626.627,-1.23924493707,-172.736194193
56,828928928.929,-1.23761119766,-172.983534781
57,831231231.231,-1.24154921916,-173.250663243
58,833533533.534,-1.2423117278,-173.468749476
59,835835835.836,-1.24033338818,-173.61645611
60,838138138.138,-1.25977836846,-173.881723982
61,840440440.44,-1.25413139825,-174.087576286
62,842742742.743,-1.25175414437,-174.302883226
63,845045045.045,-1.24385920959,-174.584632963
64,847347347.347,-1.24121106755,-174.823523569
65,849649649.65,-1.24277986057,-175.000866505
66,851951951.952,-1.246535257,-175.289537435
67,854254254.254,-1.25384161319,-175.481099846
68,856556556.557,-1.2517282522,-175.710274533
69,858858858.859,-1.24874788154,-176.019258568
70,861161161.161,-1.26383763412,-176.304781741
71,863463463.463,-1.25560503057,-176.485717357
72,865765765.766,-1.25237502147,-176.690205857
73,868068068.068,-1.25453862805,-176.956307902
74,870370370.37,-1.2589333375,-177.092892906
75,872672672.673,-1.25661116875,-177.34323052
76,874974974.975,-1.2524229614,-177.601791959
77,877277277.277,-1.25851939211,-177.830907145
78,879579579.58,-1.25653387213,-178.031370671
79,881881881.882,-1.26626961491,-178.243611161
80,884184184.184,-1.25669887007,-178.437841146
81,886486486.486,-1.27254165892,-178.649754923
82,888788788.789,-1.26298920875,-178.886147864
83,891091091.091,-1.27412037626,-179.055682493
84,893393393.393,-1.2801189409,-179.220993881
85,895695695.696,-1.27864147505,-179.516434852
86,897997997.998,-1.28075908926,-179.775675443
87,900300300.3,-1.27405742407,-179.992314083
88,902602602.603,-1.2736112898,179.803961362
89,904904904.905,-1.27603077101,179.579287392
90,907207207.207,-1.27812481378,179.385638079
91,909509509.51,-1.27617710558,179.245882834
92,911811811.812,-1.2817865572,179.027039662
93,914114114.114,-1.28077327852,178.760629885
94,916416416.416,-1.28354820752,178.538381921
95,918718718.719,-1.27677560806,178.360802209
96,921021021.021,-1.27670921232,178.100538527
97,923323323.323,-1.28244388321,177.83894997
98,925625625.626,-1.28781304691,177.652898859
99,927927927.928,-1.29404881876,177.445603096
100,930230230.23,-1.28522755074,177.268228208
101,932532532.533,-1.28847327131,177.028746121
102,934834834.835,-1.29432764429,176.822955366
103,937137137.137,-1.282380536,176.636581394
104,939439439.439,-1.28131254544,176.361008211
105,941741741.742,-1.29125777573,176.190236329
106,944044044.044,-1.29490474828,175.983575264
107,946346346.346,-1.29998287606,175.75393907
108,948648648.649,-1.30220880862,175.533055667
109,950950950.951,-1.31252120794,175.30701156
110,953253253.253,-1.30597691031,175.172707069
111,955555555.556,-1.30440853306,175.00961031
112,957857857.858,-1.29991915423,174.766114506
113,960160160.16,-1.30948030661,174.551967146
114,962462462.462,-1.29600527947,174.376520406
115,964764764.765,-1.29805699052,174.143059781
116,967067067.067,-1.30073834658,173.938426135
117,969369369.369,-1.28609709384,173.733575976
118,971671671.672,-1.29180206041,173.578771172
119,973973973.974,-1.29992079206,173.316801878
120,976276276.276,-1.31291115162,173.137640352
121,978578578.579,-1.30634057171,172.90057629
122,980880880.881,-1.30467867815,172.678354162
123,983183183.183,-1.30964879226,172.488525552
124,985485485.485,-1.31341122029,172.30252511
125,987787787.788,-1.30644837913,172.090056074
126,990090090.09,-1.30335966852,171.879495252
127,992392392.392,-1.31451072458,171.642418254
128,994694694.695,-1.31928606873,171.458056538
129,996996996.997,-1.31164345439,171.276508206
130,999299299.299,-1.31733708889,171.036126968
131,1001601601.6,-1.32165817679,170.865560395
132,1003903903.9,-1.31820688687,170.629342776
133,1006206206.21,-1.31433084188,170.414678
134,1008508508.51,-1.32508143951,170.179445756
135,1010810810.81,-1.32006613746,169.974387356
136,1013113113.11,-1.31261115933,169.769118926
137,1015415415.42,-1.31138936147,169.560349354
138,1017717717.72,-1.30611232634,169.385256548
139,1020020020.02,-1.3104798206,169.123039995
140,1022322322.32,-1.30331672324,168.914209544
141,1024624624.62,-1.31388728301,168.786761198
142,1026926926.93,-1.31279029917,168.576958324
143,1029229229.23,-1.32341343128,168.345951358
144,1031531531.53,-1.32259078647,168.136955801
145,1033833833.83,-1.32531107914,167.902944873
146,1036136136.14,-1.32616842467,167.744639899
147,1038438438.44,-1.33509044678,167.492401894
148,1040740740.74,-1.32376892118,167.304030331
149,1043043043.04,-1.32561574727,167.043989134
150,1045345345.35,-1.31807624278,166.794506504
151,1047647647.65,-1.32007291509,166.609593516
152,1049949949.95,-1.33252719227,166.39036296
153,1052252252.25,-1.31846035809,166.152967151
154,1054554554.55,-1.32539161007,165.955414429
155,1056856856.86,-1.32363742831,165.740537694
156,1059159159.16,-1.3218336362,165.540536333
157,1061461461.46,-1.3277974671,165.329979897
158,1063763763.76,-1.32823684213,165.167621712
159,1066066066.07,-1.32699995297,164.963642337
160,1068368368.37,-1.33038959505,164.735022995
161,1070670670.67,-1.32794490964,164.465985398
162,1072972972.97,-1.32113125835,164.297928022
163,1075275275.28,-1.33742001358,164.044835479
164,1077577577.58,-1.3279003773,163.901898528
165,1079879879.88,-1.32697385867,163.605543464
166,1082182182.18,-1.33807832705,163.386552991
167,1084484484.48,-1.33295083038,163.170725649
168,1086786786.79,-1.33779847603,163.039645471
169,1089089089.09,-1.33635671704,162.847999501
170,1091391391.39,-1.33762792362,162.598100214
171,1093693693.69,-1.33836361576,162.41468645
172,1095995996.0,-1.33683409845,162.258484192
173,1098298298.3,-1.34502475806,162.023539307
174,1100600600.6,-1.35431234458,161.84973952
175,1102902902.9,-1.3543154832,161.597684026
176,1105205205.21,-1.35652443145,161.389570173
177,1107507507.51,-1.35955505226,161.170407556
178,1109809809.81,-1.3580088205,160.970659275
179,1112112112.11,-1.35376009446,160.828779092
180,1114414414.41,-1.35945970151,160.665158748
181,1116716716.72,-1.35702863126,160.399389198
182,1119019019.02,-1.3690292279,160.191621273
183,1121321321.32,-1.36095279789,159.986462516
184,1123623623.62,-1.35757495245,159.78538202
185,1125925925.93,-1.35830641167,159.552908791
186,1128228228.23,-1.3628921592,159.353895129
187,1130530530.53,-1.36640852435,159.117097295
188,1132832832.83,-1.36785914792,158.93259096
189,1135135135.14,-1.37193819013,158.696818471
190,1137437437.44,-1.3722104184,158.525643043
191,1139739739.74,-1.37408885431,158.299410728
192,1142042042.04,-1.37985446865,158.143388343
193,1144344344.34,-1.37789186652,157.890658831
194,1146646646.65,-1.3856415843,157.679575715
195,1148948948.95,-1.3836530373,157.449537259
196,1151251251.25,-1.37900927061,157.267505229
197,1153553553.55,-1.39044819969,157.061239223
198,1155855855.86,-1.38696252664,156.862575611
199,1158158158.16,-1.39161507556,156.674383346
200,1160460460.46,-1.38775174089,156.438838553
201,1162762762.76,-1.39441141303,156.24603144
202,1165065065.07,-1.40129939063,156.051382367
203,1167367367.37,-1.39161956425,155.84890706
204,1169669669.67,-1.39578233019,155.623921978
205,1171971971.97,-1.39788043246,155.466402642
206,1174274274.27,-1.40446190068,155.200626645
207,1176576576.58,-1.39967618142,155.040109146
208,1178878878.88,-1.4099110224,154.84271233
209,1181181181.18,-1.40388723143,154.611399408
210,1183483483.48,-1.41325059686,154.418857309
211,1185785785.79,-1.4155640273,154.207838252
212,1188088088.09,-1.41800557013,153.997187471
213,1190390390.39,-1.41164381859,153.769500801
214,1192692692.69,-1.42127690081,153.605117426
215,1194994994.99,-1.42510717252,153.286574018
216,1197297297.3,-1.42942468846,153.145431223
217,1199599599.6,-1.43610076848,152.915229066
218,1201901901.9,-1.42250451827,152.72625644
219,1204204204.2,-1.42800695461,152.581226332
220,1206506506.51,-1.43457334622,152.348864261
221,1208808808.81,-1.43287756914,152.140884189
222,1211111111.11,-1.43655314571,151.9896367
223,1213413413.41,-1.44014706375,151.801355543
224,1215715715.72,-1.44408860769,151.58289357
225,1218018018.02,-1.44038403516,151.416063249
226,1220320320.32,-1.44867344342,151.261662354
227,1222622622.62,-1.43962239183,151.046866706
228,1224924924.92,-1.44829783115,150.822828067
229,1227227227.23,-1.44329425331,150.601683219
230,1229529529.53,-1.44888879521,150.474012498
231,1231831831.83,-1.45763247321,150.209112382
232,1234134134.13,-1.45376699196,150.007864963
233,1236436436.44,-1.46018383457,149.776142345
234,1238738738.74,-1.46179536123,149.521867386
235,1241041041.04,-1.47486761484,149.353549988
236,1243343343.34,-1.47338423798,149.107057029
237,1245645645.65,-1.47406048452,148.961932067
238,1247947947.95,-1.47411681095,148.742614917
239,1250250250.25,-1.46523212861,148.586722613
240,1252552552.55,-1.47550636433,148.338504711
241,1254854854.85,-1.47349105314,148.138304351
242,1257157157.16,-1.4761983568,147.910407692
243,1259459459.46,-1.46775980876,147.680099426
244,1261761761.76,-1.47235251006,147.492896225
245,1264064064.06,-1.4747449176,147.233898737
246,1266366366.37,-1.48359807352,147.066574024
247,1268668668.67,-1.49032050058,146.94035185
248,1270970970.97,-1.48540282644,146.69634114
249,1273273273.27,-1.49050599404,146.536784979
250,1275575575.58,-1.49717370582,146.362699169
251,1277877877.88,-1.50047533277,146.08914063
252,1280180180.18,-1.50422975029,145.942601804
253,1282482482.48,-1.50591940183,145.775111144
254,1284784784.78,-1.50610839892,145.553770014
255,1287087087.09,-1.5123791925,145.38823489
256,1289389389.39,-1.51301617566,145.158739695
257,1291691691.69,-1.50371111122,144.928107425
258,1293993993.99,-1.51599768971,144.634611575
259,1296296296.3,-1.51772483051,144.491845171
260,1298598598.6,-1.51838684087,144.286718423
261,1300900900.9,-1.51447443696,144.015081389
262,1303203203.2,-1.528343841,143.861937219
263,1305505505.51,-1.52577987364,143.596247696
264,1307807807.81,-1.53587430947,143.395779275
265,1310110110.11,-1.53771651807,143.225220246
266,1312412412.41,-1.53459384521,143.000072893
267,1314714714.71,-1.53486549047,142.802389536
268,1317017017.02,-1.5442247429,142.60218554
269,1319319319.32,-1.55001062722,142.350743194
270,1321621621.62,-1.54828093503,142.169576873
271,1323923923.92,-1.54712437447,141.962371104
272,1326226226.23,-1.55525299722,141.778386292
273,1328528528.53,-1.55840525785,141.571480758
274,1330830830.83,-1.54956161025,141.436845292
275,1333133133.13,-1.56117927032,141.176817415
276,1335435435.44,-1.56139205181,140.923936139
277,1337737737.74,-1.56755696261,140.77371354
278,1340040040.04,-1.56420037217,140.546159641
279,1342342342.34,-1.56926930116,140.333777155
280,1344644644.64,-1.55999250804,140.131858412
281,1346946946.95,-1.57049956763,139.956585277
282,1349249249.25,-1.57436954048,139.789862883
283,1351551551.55,-1.58469308398,139.601358418
284,1353853853.85,-1.58134273345,139.419164617
285,1356156156.16,-1.58135906562,139.172510184
286,1358458458.46,-1.58965012469,138.96022338
287,1360760760.76,-1.59906082215,138.747473685
288,1363063063.06,-1.59611324825,138.519097691
289,1365365365.37,-1.60396849085,138.294011576
290,1367667667.67,-1.60419420452,138.117622084
291,1369969969.97,-1.60727164382,137.89501478
292,1372272272.27,-1.61241835688,137.627042504
293,1374574574.57,-1.61347609562,137.476135793
294,1376876876.88,-1.61642542445,137.193561687
295,1379179179.18,-1.62062636813,136.998502698
296,1381481481.48,-1.62095874685,136.847955537
297,1383783783.78,-1.62224670361,136.629816351
298,1386086086.09,-1.62891360375,136.409898035
299,1388388388.39,-1.62288457767,136.202009943
300,1390690690.69,-1.63098109853,135.992816344
301,1392992992.99,-1.63748049548,135.790016339
302,1395295295.3,-1.6366624018,135.593019381
303,1397597597.6,-1.650618589,135.403467442
304,1399899899.9,-1.64929147975,135.228928719
305,1402202202.2,-1.65037311349,135.025773814
306,1404504504.5,-1.65152952161,134.776632721
307,1406806806.81,-1.66472358849,134.563608523
308,1409109109.11,-1.66118135708,134.319744222
309,1411411411.41,-1.66199334355,134.094240247
310,1413713713.71,-1.67385654891,133.925879497
311,1416016016.02,-1.66952794893,133.716029728
312,1418318318.32,-1.6711920197,133.472379966
313,1420620620.62,-1.67634519459,133.274579435
314,1422922922.92,-1.67853562976,133.034350672
315,1425225225.23,-1.67888203761,132.847375421
316,1427527527.53,-1.69119803112,132.622851628
317,1429829829.83,-1.68810767254,132.375604275
318,1432132132.13,-1.6989563549,132.236762546
319,1434434434.43,-1.70326430069,132.021220628
320,1436736736.74,-1.70727236532,131.81273595
321,1439039039.04,-1.70594340439,131.591793065
322,1441341341.34,-1.70985759852,131.398288304
323,1443643643.64,-1.70618543423,131.238625786
324,1445945945.95,-1.7168081102,130.924711322
325,1448248248.25,-1.71831196581,130.706183602
326,1450550550.55,-1.71563775547,130.542588022
327,1452852852.85,-1.73128823978,130.295343948
328,1455155155.16,-1.73172615468,130.156009627
329,1457457457.46,-1.73826690283,129.924034703
330,1459759759.76,-1.74102223845,129.743997597
331,1462062062.06,-1.7410122686,129.507685624
332,1464364364.36,-1.74921493419,129.232888136
333,1466666666.67,-1.76556275302,129.047134826
334,1468968968.97,-1.76704237536,128.817376754
335,1471271271.27,-1.76828551905,128.597753803
336,1473573573.57,-1.77031636839,128.318363534
337,1475875875.88,-1.76727225927,128.149839829
338,1478178178.18,-1.77004706473,127.898617404
339,1480480480.48,-1.76194613859,127.688176529
340,1482782782.78,-1.77990555119,127.505737958
341,1485085085.09,-1.77016859307,127.296458936
342,1487387387.39,-1.77949641743,127.058488456
343,1489689689.69,-1.78803151648,126.81985053
344,1491991991.99,-1.79257127997,126.649560925
345,1494294294.29,-1.79865536567,126.400771409
346,1496596596.6,-1.7964313448,126.260898403
347,1498898898.9,-1.80455178559,126.016805393
348,1501201201.2,-1.81113466748,125.744925349
349,1503503503.5,-1.81301054203,125.607684485
350,1505805805.81,-1.82043866651,125.369000228
351,1508108108.11,-1.82821205605,125.214804481
352,1510410410.41,-1.82371881988,124.952773266
353,1512712712.71,-1.82761247499,124.667151074
354,1515015015.02,-1.83298259149,124.490331673
355,1517317317.32,-1.83714650014,124.288928923
356,1519619619.62,-1.84721946556,124.052105058
357,1521921921.92,-1.83721878625,123.822700072
358,1524224224.22,-1.85164529519,123.661501588
359,1526526526.53,-1.84953061111,123.396951748
360,1528828828.83,-1.84334939204,123.209678924
361,1531131131.13,-1.8635146147,122.970463923
362,1533433433.43,-1.86715922756,122.75214234
363,1535735735.74,-1.86907278545,122.510726504
364,1538038038.04,-1.8658224977,122.371978594
365,1540340340.34,-1.88185513729,122.138019772
366,1542642642.64,-1.88682814225,121.888511081
367,1544944944.94,-1.89598133732,121.624852585
368,1547247247.25,-1.89876595099,121.418593078
369,1549549549.55,-1.88991214142,121.248916698
370,1551851851.85,-1.90239610223,121.025898637
371,1554154154.15,-1.92266887086,120.816222577
372,1556456456.46,-1.91136065229,120.551977942
